날짜,종가,전일비,시가,고가,저가,거래량
2026.07.14,110950.0,970.0,109980.0,112827.0,103955.0,181.0
2026.07.13,109980.0,-12010.0,120915.0,121570.0,109670.0,430.0
2026.07.10,121990.0,2945.0,122870.0,125715.0,121390.0,86.0
2026.07.09,119045.0,935.0,121610.0,122930.0,115800.0,345.0
2026.07.08,118110.0,-6650.0,120700.0,126230.0,116950.0,126.0
2026.07.07,124760.0,-6350.0,128840.0,129145.0,120000.0,512.0
2026.07.06,131110.0,-835.0,133505.0,135830.0,127430.0,110.0
2026.07.03,131945.0,7205.0,125480.0,132970.0,120035.0,4577.0
2026.07.02,124740.0,-10725.0,127700.0,132240.0,124100.0,695.0
2026.07.01,135465.0,-3975.0,139775.0,140860.0,132550.0,71.0
2026.06.30,139440.0,2085.0,137355.0,142140.0,134430.0,160.0
2026.06.29,137355.0,-1150.0,136500.0,139615.0,133185.0,116.0
2026.06.26,138505.0,-8710.0,145160.0,145820.0,133500.0,1818.0
2026.06.25,147215.0,8495.0,147695.0,149445.0,144390.0,341.0
2026.06.24,138720.0,4935.0,135225.0,140255.0,132465.0,247.0
2026.06.23,133785.0,-16040.0,149480.0,150320.0,133785.0,530.0
2026.06.22,149825.0,1620.0,146405.0,151915.0,146265.0,750.0
2026.06.19,148205.0,260.0,152205.0,154115.0,145340.0,443.0
2026.06.18,147945.0,4540.0,144865.0,148285.0,144035.0,529.0
2026.06.17,143405.0,2550.0,139080.0,143690.0,138910.0,389.0
2026.06.16,140855.0,2825.0,141060.0,141770.0,138390.0,96.0
2026.06.15,138030.0,7380.0,136837.0,138945.0,136270.0,213.0
2026.06.12,130650.0,5935.0,133515.0,136585.0,130650.0,568.0
2026.06.11,124715.0,100.0,121025.0,125460.0,119495.0,81.0
2026.06.10,124615.0,-6360.0,126700.0,128355.0,121040.0,150.0
2026.06.09,130975.0,10975.0,120000.0,130975.0,120000.0,370.0
2026.06.08,120000.0,-11325.0,124430.0,125385.0,119990.0,172.0
2026.06.05,131325.0,-8455.0,133700.0,135135.0,128505.0,625.0
2026.06.04,139780.0,-2985.0,138410.0,141745.0,138410.0,354.0
2026.06.02,142765.0,290.0,144140.0,144605.0,136920.0,324.0
2026.06.01,142475.0,6450.0,136065.0,143305.0,136065.0,779.0
2026.05.29,136025.0,5175.0,134975.0,136090.0,133300.0,800.0
2026.05.28,130850.0,-735.0,129810.0,131830.0,124545.0,539.0
2026.05.27,131585.0,3945.0,134600.0,135630.0,131585.0,443.0
2026.05.26,127640.0,3470.0,126935.0,129070.0,126290.0,241.0
2026.05.22,124170.0,225.0,124530.0,124530.0,122930.0,544.0
2026.05.21,123945.0,10080.0,118530.0,123945.0,118350.0,1269.0
2026.05.20,113865.0,-880.0,115335.0,115560.0,111620.0,645.0
2026.05.19,114745.0,-3605.0,116065.0,116725.0,111945.0,905.0
2026.05.18,118350.0,945.0,115775.0,120165.0,112122.0,700.0
2026.05.15,117405.0,-7900.0,125010.0,126500.0,115535.0,994.0
2026.05.14,125305.0,2270.0,123545.0,125550.0,123405.0,303.0
2026.05.13,123035.0,3430.0,116650.0,123280.0,115100.0,954.0
2026.05.12,119605.0,-2825.0,124080.0,124565.0,117720.0,518.0
2026.05.11,122430.0,6130.0,121170.0,123725.0,120220.0,788.0
2026.05.08,116300.0,110.0,112850.0,116340.0,112850.0,781.0
2026.05.07,116190.0,2300.0,115460.0,116525.0,112400.0,877.0
2026.05.06,113890.0,8110.0,111760.0,114600.0,111475.0,356.0
2026.05.04,105780.0,4980.0,103255.0,105780.0,102725.0,1171.0
2026.04.30,100800.0,-980.0,101905.0,102880.0,100390.0,541.0
2026.04.29,101780.0,890.0,100080.0,102065.0,100070.0,792.0
2026.04.28,102090.0,540.0,102190.0,103320.0,101735.0,158.0
2026.04.27,101550.0,2305.0,100465.0,102555.0,100445.0,156.0
2026.04.24,99245.0,-520.0,100100.0,100100.0,98395.0,196.0
2026.04.23,99765.0,1135.0,99500.0,101010.0,96710.0,1942.0
2026.04.22,98630.0,615.0,98375.0,98630.0,97000.0,663.0
2026.04.21,98015.0,2185.0,97235.0,98015.0,97235.0,121.0
2026.04.20,95830.0,495.0,95700.0,96545.0,95340.0,92.0
2026.04.17,95335.0,-240.0,95465.0,95880.0,95045.0,148.0
2026.04.16,95575.0,1675.0,94615.0,95895.0,94170.0,311.0
2026.04.15,93900.0,2190.0,94250.0,95420.0,93585.0,388.0
2026.04.14,91710.0,2630.0,91590.0,92705.0,90845.0,436.0
2026.04.13,89080.0,-895.0,87405.0,89285.0,87405.0,817.0
2026.04.10,89975.0,1420.0,89700.0,91050.0,89700.0,444.0
2026.04.09,88555.0,-1705.0,89485.0,89735.0,88395.0,247.0
2026.04.08,90260.0,6275.0,87000.0,91365.0,87000.0,384.0
2026.04.07,83985.0,1090.0,84755.0,85465.0,82985.0,139.0
2026.04.06,82895.0,1220.0,82620.0,83840.0,82430.0,310.0
2026.04.03,81675.0,2380.0,81400.0,82160.0,80735.0,283.0
2026.04.02,79295.0,-4105.0,84790.0,84790.0,78000.0,293.0
2026.04.01,83400.0,7040.0,81115.0,83910.0,80305.0,902.0
2026.03.31,76360.0,-3510.0,77390.0,78900.0,76172.0,178.0
2026.03.30,79870.0,-2125.0,78075.0,80075.0,77720.0,285.0
2026.03.27,81995.0,-765.0,79260.0,82500.0,78900.0,559.0
2026.03.26,82760.0,-2940.0,84480.0,84915.0,82165.0,2841.0
2026.03.25,85700.0,955.0,86705.0,87595.0,85700.0,149.0
2026.03.24,84745.0,2655.0,85970.0,85970.0,82090.0,710.0
2026.03.23,82090.0,-5645.0,84025.0,84355.0,81830.0,293.0
2026.03.20,87735.0,-160.0,88315.0,88805.0,87600.0,100.0
2026.03.19,87895.0,-2810.0,87865.0,89530.0,87510.0,726.0
2026.03.18,90705.0,4740.0,87990.0,90710.0,87735.0,157.0
2026.03.17,85965.0,1960.0,86795.0,87095.0,85575.0,118.0
2026.03.16,84005.0,1065.0,83500.0,84140.0,82635.0,210.0
2026.03.13,82940.0,-1585.0,81275.0,83500.0,81275.0,196.0
2026.03.12,84525.0,-810.0,84590.0,85500.0,84000.0,173.0
2026.03.11,85335.0,925.0,86800.0,86900.0,84750.0,1634.0
2026.03.10,84410.0,4915.0,83940.0,85310.0,82775.0,1081.0
2026.03.09,79495.0,-5330.0,78740.0,79495.0,76595.0,333.0
2026.03.06,84825.0,35.0,82850.0,84875.0,81895.0,598.0
2026.03.05,84790.0,7390.0,97230.0,97230.0,83650.0,1336.0
2026.03.04,77400.0,-10600.0,83555.0,85975.0,77005.0,1451.0
2026.03.03,88000.0,-7420.0,93765.0,93945.0,88000.0,857.0
2026.02.27,95420.0,-1125.0,94480.0,96990.0,93925.0,968.0
2026.02.26,96545.0,4275.0,92940.0,96545.0,92940.0,1057.0
2026.02.25,92270.0,1850.0,91405.0,93235.0,90815.0,479.0
2026.02.24,90420.0,2530.0,88305.0,90430.0,86905.0,383.0
2026.02.23,87890.0,580.0,89175.0,89175.0,87200.0,670.0
2026.02.20,87310.0,2040.0,85280.0,87310.0,85280.0,905.0
2026.02.19,85270.0,2400.0,85205.0,85485.0,84500.0,460.0
2026.02.13,82870.0,-185.0,82590.0,84040.0,82230.0,855.0
2026.02.12,83055.0,2890.0,81290.0,83055.0,81105.0,150.0
2026.02.11,80165.0,715.0,79330.0,80605.0,78515.0,2065.0
2026.02.10,79450.0,-20.0,80200.0,80255.0,79420.0,71.0
2026.02.09,79470.0,3290.0,79695.0,79820.0,78920.0,340.0
2026.02.06,76180.0,-855.0,74240.0,76450.0,73190.0,742.0
2026.02.05,77035.0,-3370.0,78080.0,79090.0,76525.0,474.0
2026.02.04,80405.0,1265.0,78700.0,80535.0,78700.0,245.0
2026.02.03,79140.0,5385.0,76540.0,79140.0,76420.0,591.0
2026.02.02,73755.0,-4510.0,76545.0,77680.0,73720.0,577.0
2026.01.30,78265.0,220.0,77505.0,79565.0,77460.0,15159.0
