날짜,종가,전일비,시가,고가,저가,거래량
2026.07.07,22475.0,-120.0,22800.0,22835.0,22350.0,35019.0
2026.07.06,22595.0,90.0,22625.0,23165.0,22435.0,19945.0
2026.07.03,22505.0,-745.0,22520.0,22735.0,22470.0,70848.0
2026.07.02,23250.0,-790.0,23350.0,23615.0,23200.0,35169.0
2026.07.01,24040.0,570.0,24080.0,24225.0,24005.0,62363.0
2026.06.30,23470.0,535.0,23290.0,23495.0,23290.0,39765.0
2026.06.29,22935.0,350.0,22810.0,23295.0,22565.0,25334.0
2026.06.26,22585.0,-640.0,23225.0,23300.0,22495.0,55705.0
2026.06.25,23225.0,275.0,23315.0,23570.0,23135.0,56639.0
2026.06.24,22950.0,-175.0,22830.0,23090.0,22700.0,74856.0
2026.06.23,23125.0,-400.0,23735.0,23840.0,21950.0,104783.0
2026.06.22,23525.0,255.0,23225.0,23540.0,22625.0,91553.0
2026.06.19,23270.0,545.0,23230.0,23435.0,23120.0,96602.0
2026.06.18,22725.0,220.0,22575.0,22745.0,22505.0,62741.0
2026.06.17,22505.0,-495.0,22405.0,22585.0,22370.0,36078.0
2026.06.16,23000.0,190.0,22955.0,23075.0,22810.0,73930.0
2026.06.15,22810.0,970.0,22500.0,22950.0,22500.0,49112.0
2026.06.12,21840.0,675.0,21850.0,22050.0,21805.0,43079.0
2026.06.11,21165.0,-280.0,20740.0,21165.0,20530.0,52828.0
2026.06.10,21445.0,-420.0,21660.0,21680.0,21270.0,43973.0
2026.06.09,21865.0,660.0,21905.0,21960.0,21600.0,58349.0
2026.06.08,21205.0,-1450.0,21600.0,21885.0,21090.0,87299.0
2026.06.05,22655.0,-155.0,22645.0,22805.0,22455.0,68818.0
2026.06.04,22810.0,720.0,22585.0,22830.0,22250.0,74800.0
2026.06.02,22090.0,-300.0,22050.0,22220.0,21895.0,94334.0
2026.06.01,22390.0,-295.0,22515.0,22685.0,22300.0,129135.0
2026.05.29,22685.0,490.0,22500.0,22685.0,22430.0,66766.0
