날짜,종가,전일비,시가,고가,저가,거래량
2026.08.20,12780.0,-230.0,13015.0,13015.0,12650.0,1040.0
2026.08.19,13010.0,190.0,12460.0,13145.0,12460.0,2131.0
2026.08.18,12820.0,110.0,12745.0,12860.0,12715.0,917.0
2026.08.14,12710.0,0.0,12765.0,12765.0,12655.0,216.0
2026.08.13,12710.0,110.0,12765.0,12765.0,12635.0,427.0
2026.08.12,12600.0,25.0,12575.0,12725.0,12575.0,1169.0
2026.08.11,12575.0,275.0,12350.0,12670.0,12350.0,1603.0
2026.08.10,12300.0,-200.0,12340.0,12350.0,12205.0,1387.0
2026.08.07,12500.0,65.0,12435.0,12570.0,12425.0,1315.0
2026.08.06,12435.0,-160.0,12545.0,12545.0,12360.0,1144.0
2026.08.05,12595.0,-145.0,12665.0,12665.0,12555.0,929.0
2026.08.04,12740.0,-150.0,12765.0,12770.0,12580.0,2984.0
2026.08.03,12890.0,175.0,12740.0,12975.0,12740.0,946.0
2026.07.31,12715.0,-140.0,12750.0,12980.0,12715.0,7136.0
2026.07.30,12855.0,0.0,13105.0,13105.0,12855.0,6115.0
2026.07.29,13105.0,-135.0,13240.0,13240.0,12945.0,7244.0
2026.07.28,13240.0,-475.0,13675.0,13675.0,13235.0,6614.0
2026.07.27,13715.0,-120.0,13765.0,13765.0,13630.0,446.0
2026.07.24,13835.0,160.0,13800.0,13905.0,13765.0,3471.0
2026.07.23,13675.0,45.0,13850.0,13850.0,13610.0,377.0
2026.07.22,13630.0,135.0,13560.0,13710.0,13545.0,3310.0
2026.07.21,13495.0,-110.0,13210.0,13605.0,13210.0,340.0
2026.07.20,13605.0,195.0,13005.0,13730.0,13005.0,2748.0
2026.07.16,13410.0,-80.0,13490.0,13495.0,13385.0,448.0
2026.07.15,13490.0,50.0,13495.0,13595.0,13490.0,1102.0
2026.07.14,13440.0,50.0,13605.0,13625.0,13385.0,11314.0
2026.07.13,13390.0,10.0,13375.0,13410.0,13300.0,2900.0
2026.07.10,13380.0,-85.0,13305.0,13450.0,13305.0,7988.0
2026.07.09,13465.0,130.0,13445.0,13575.0,13440.0,4965.0
2026.07.08,13335.0,185.0,13160.0,13645.0,13160.0,9957.0
2026.07.07,13150.0,-175.0,13300.0,13310.0,13125.0,9087.0
2026.07.06,13325.0,-35.0,13360.0,13400.0,13205.0,2310.0
2026.07.03,13360.0,90.0,13270.0,13495.0,13270.0,4688.0
2026.07.02,13270.0,-200.0,13710.0,13710.0,13265.0,9657.0
2026.07.01,13470.0,-190.0,13545.0,13560.0,13400.0,1954.0
2026.06.30,13660.0,-65.0,13545.0,13700.0,13535.0,2594.0
2026.06.29,13725.0,-20.0,13745.0,13745.0,13655.0,5581.0
2026.06.26,13745.0,190.0,13835.0,13850.0,13745.0,3051.0
2026.06.25,13555.0,-155.0,14200.0,14200.0,13425.0,4989.0
2026.06.24,13710.0,205.0,13505.0,13785.0,13505.0,12766.0
2026.06.23,13505.0,60.0,13515.0,13660.0,13455.0,8198.0
2026.06.22,13445.0,150.0,13295.0,13455.0,13275.0,4169.0
2026.06.19,13300.0,-25.0,13175.0,13460.0,13175.0,8086.0
2026.06.18,13325.0,0.0,13320.0,13425.0,13255.0,5551.0
2026.06.17,13325.0,-115.0,13435.0,13455.0,13305.0,14885.0
2026.06.16,13440.0,-260.0,13515.0,13540.0,13360.0,5778.0
2026.06.15,13700.0,40.0,13655.0,13790.0,13590.0,15263.0
2026.06.12,13660.0,-225.0,13880.0,13880.0,13600.0,6670.0
2026.06.11,13885.0,200.0,13685.0,14075.0,13685.0,9031.0
2026.06.10,13685.0,35.0,13620.0,13700.0,13585.0,4880.0
2026.06.09,13650.0,-50.0,13700.0,13915.0,13650.0,2842.0
2026.06.08,13700.0,-405.0,13840.0,14270.0,13700.0,10033.0
2026.06.05,14105.0,165.0,13940.0,14150.0,13930.0,9353.0
2026.06.04,13940.0,540.0,13400.0,13960.0,13400.0,11700.0
2026.06.02,13400.0,180.0,13220.0,13550.0,13220.0,33130.0
2026.06.01,13220.0,-245.0,13465.0,13465.0,13220.0,11696.0
2026.05.29,13465.0,-95.0,13630.0,13630.0,13365.0,5038.0
2026.05.28,13560.0,-170.0,13890.0,13890.0,13520.0,11572.0
2026.05.27,13730.0,-490.0,14755.0,14755.0,13710.0,6667.0
2026.05.26,14220.0,40.0,15000.0,15000.0,14140.0,8065.0
2026.05.22,14180.0,20.0,14155.0,14280.0,14065.0,7704.0
2026.05.21,14160.0,-385.0,13735.0,14165.0,13735.0,38151.0
2026.05.20,14545.0,195.0,14350.0,14585.0,14350.0,50888.0
2026.05.19,14350.0,515.0,14070.0,14360.0,14070.0,21646.0
2026.05.18,13835.0,-70.0,14200.0,14200.0,13835.0,43749.0
2026.05.15,13905.0,470.0,13795.0,13915.0,13730.0,12654.0
2026.05.14,13435.0,-35.0,13470.0,13530.0,13415.0,6581.0
2026.05.13,13470.0,70.0,13420.0,13520.0,13420.0,10856.0
2026.05.12,13400.0,530.0,13010.0,13400.0,13010.0,13448.0
