날짜,종가,전일비,시가,고가,저가,거래량
2026.07.24,12805.0,-165.0,13050.0,13050.0,12785.0,12860.0
2026.07.23,12970.0,-110.0,13080.0,13080.0,12955.0,16272.0
2026.07.22,13080.0,70.0,13010.0,13115.0,13010.0,11187.0
2026.07.21,13010.0,-60.0,13070.0,13070.0,12970.0,21431.0
2026.07.20,13070.0,-145.0,13225.0,13225.0,13050.0,17408.0
2026.07.16,13215.0,5.0,13210.0,13275.0,13200.0,11265.0
2026.07.15,13210.0,-65.0,13280.0,13280.0,13135.0,16470.0
2026.07.14,13275.0,-115.0,13390.0,13400.0,13035.0,20492.0
2026.07.13,13390.0,30.0,13360.0,13470.0,13335.0,11545.0
2026.07.10,13360.0,-20.0,13380.0,13460.0,13320.0,17419.0
2026.07.09,13380.0,45.0,13335.0,13380.0,13260.0,19521.0
2026.07.08,13335.0,-235.0,13700.0,13700.0,13320.0,28649.0
2026.07.07,13570.0,-5.0,13575.0,13605.0,13500.0,14802.0
2026.07.06,13575.0,-55.0,13700.0,13700.0,13540.0,24363.0
2026.07.03,13630.0,-40.0,13710.0,13735.0,13595.0,23341.0
2026.07.02,13670.0,-10.0,13680.0,13725.0,13615.0,16748.0
2026.07.01,13680.0,95.0,13585.0,13730.0,13585.0,16635.0
2026.06.30,13585.0,110.0,13475.0,13625.0,13475.0,9911.0
2026.06.29,13475.0,120.0,13355.0,13475.0,13320.0,23745.0
2026.06.26,13370.0,20.0,13350.0,13510.0,13325.0,22371.0
2026.06.25,13350.0,-50.0,13545.0,13545.0,13335.0,17694.0
2026.06.24,13400.0,-50.0,13425.0,13445.0,13280.0,34312.0
2026.06.23,13450.0,-20.0,13500.0,13530.0,13385.0,11681.0
2026.06.22,13470.0,55.0,13585.0,13585.0,13415.0,14016.0
2026.06.19,13415.0,50.0,13450.0,13600.0,13370.0,16969.0
2026.06.18,13365.0,-40.0,13405.0,13440.0,13330.0,28458.0
2026.06.17,13405.0,-115.0,13555.0,13555.0,13360.0,22750.0
2026.06.16,13520.0,-25.0,13545.0,13550.0,13450.0,18183.0
2026.06.15,13545.0,100.0,13530.0,13545.0,13445.0,15695.0
2026.06.12,13445.0,55.0,13530.0,13530.0,13325.0,15971.0
2026.06.11,13390.0,-20.0,13405.0,13405.0,13290.0,10632.0
2026.06.10,13410.0,20.0,13390.0,13485.0,13350.0,13940.0
2026.06.09,13390.0,-140.0,13605.0,13605.0,13380.0,22572.0
2026.06.08,13530.0,-335.0,13860.0,13885.0,13530.0,34434.0
2026.06.05,13865.0,155.0,13710.0,13925.0,13675.0,18729.0
2026.06.04,13710.0,125.0,13590.0,13740.0,13585.0,20509.0
2026.06.02,13585.0,70.0,13515.0,13640.0,13460.0,21967.0
2026.06.01,13515.0,95.0,13390.0,13620.0,13390.0,28693.0
2026.05.29,13420.0,70.0,13350.0,13445.0,13275.0,19661.0
2026.05.28,13350.0,-15.0,13380.0,13415.0,13310.0,13449.0
2026.05.27,13375.0,-65.0,13450.0,13450.0,13310.0,16308.0
2026.05.26,13440.0,25.0,13415.0,13565.0,13415.0,18256.0
2026.05.22,13415.0,165.0,13260.0,13450.0,13250.0,19825.0
2026.05.21,13250.0,-20.0,13270.0,13315.0,13165.0,15808.0
2026.05.20,13270.0,90.0,13440.0,13440.0,13105.0,16323.0
2026.05.19,13180.0,55.0,13125.0,13205.0,13105.0,9497.0
2026.05.18,13125.0,-65.0,13390.0,13390.0,13050.0,15451.0
2026.05.15,13190.0,45.0,13150.0,13335.0,13150.0,26778.0
2026.05.14,13145.0,100.0,13125.0,13185.0,13055.0,12932.0
2026.05.13,13045.0,130.0,12915.0,13070.0,12915.0,12963.0
2026.05.12,12915.0,105.0,12810.0,12950.0,12790.0,20656.0
2026.05.11,12810.0,60.0,12750.0,12830.0,12712.0,41093.0
2026.05.08,12750.0,100.0,12650.0,12750.0,12640.0,44093.0
2026.05.07,12650.0,60.0,12630.0,12700.0,12600.0,37357.0
2026.05.06,12590.0,-100.0,12770.0,12790.0,12000.0,31996.0
2026.05.04,12690.0,-20.0,12870.0,12870.0,12680.0,26315.0
2026.04.30,12710.0,-35.0,12745.0,12750.0,12695.0,18980.0
2026.04.29,12745.0,10.0,12745.0,12750.0,12595.0,10082.0
2026.04.28,12745.0,-10.0,12870.0,12870.0,12735.0,33076.0
2026.04.27,12755.0,-45.0,12895.0,12895.0,12740.0,22730.0
2026.04.24,12800.0,10.0,12800.0,12800.0,12700.0,10926.0
2026.04.23,12790.0,-25.0,12870.0,12870.0,12750.0,22115.0
2026.04.22,12815.0,30.0,12785.0,12845.0,12505.0,17008.0
2026.04.21,12785.0,95.0,12690.0,12830.0,12690.0,18588.0
2026.04.20,12690.0,30.0,12780.0,12780.0,12285.0,14335.0
2026.04.17,12660.0,155.0,12510.0,12680.0,12510.0,14546.0
2026.04.16,12505.0,5.0,12550.0,12575.0,12475.0,15822.0
2026.04.15,12500.0,80.0,12420.0,12525.0,12420.0,13468.0
2026.04.14,12420.0,20.0,12500.0,12500.0,12380.0,12187.0
2026.04.13,12400.0,-15.0,12560.0,12560.0,12245.0,10368.0
2026.04.10,12415.0,60.0,12355.0,12415.0,12265.0,20089.0
2026.04.09,12355.0,45.0,12315.0,12445.0,12295.0,8579.0
2026.04.08,12310.0,70.0,12240.0,12350.0,12240.0,15830.0
2026.04.07,12240.0,55.0,12195.0,12390.0,12195.0,9342.0
2026.04.06,12185.0,-45.0,12230.0,12270.0,12155.0,7552.0
2026.04.03,12230.0,35.0,12195.0,12300.0,12180.0,10282.0
2026.04.02,12195.0,10.0,12185.0,12360.0,12180.0,11629.0
2026.04.01,12185.0,85.0,12360.0,12360.0,12100.0,11859.0
2026.03.31,12100.0,85.0,12170.0,12170.0,12010.0,22298.0
2026.03.30,12015.0,-180.0,11835.0,12105.0,11595.0,17244.0
2026.03.27,12215.0,-15.0,12230.0,12230.0,12065.0,9272.0
2026.03.26,12230.0,-60.0,12290.0,12290.0,12130.0,13175.0
2026.03.25,12290.0,160.0,12225.0,12290.0,12135.0,10417.0
2026.03.24,12130.0,80.0,12400.0,12400.0,12105.0,10513.0
2026.03.23,12050.0,-170.0,12215.0,12215.0,12000.0,24058.0
2026.03.20,12220.0,-25.0,12245.0,12245.0,12050.0,12917.0
2026.03.19,12245.0,-20.0,12265.0,12265.0,12130.0,14657.0
2026.03.18,12265.0,75.0,12190.0,12315.0,12165.0,28658.0
2026.03.17,12190.0,-50.0,12355.0,12355.0,12140.0,34225.0
2026.03.16,12240.0,0.0,12240.0,12380.0,12195.0,17795.0
2026.03.13,12240.0,-10.0,12250.0,12335.0,12220.0,15710.0
2026.03.12,12250.0,0.0,12250.0,12315.0,12210.0,23240.0
2026.03.11,12250.0,-10.0,12300.0,12340.0,12225.0,16470.0
2026.03.10,12260.0,160.0,12240.0,12300.0,12110.0,18240.0
2026.03.09,12100.0,-310.0,12370.0,12370.0,11580.0,43142.0
2026.03.06,12410.0,10.0,12400.0,12415.0,12385.0,14155.0
2026.03.05,12400.0,-10.0,12410.0,12720.0,12325.0,27973.0
2026.03.04,12410.0,-5.0,12415.0,12715.0,12355.0,31108.0
2026.03.03,12415.0,175.0,12250.0,12505.0,12250.0,27819.0
2026.02.27,12240.0,65.0,12175.0,12257.0,12130.0,21724.0
2026.02.26,12175.0,-120.0,12300.0,12300.0,12175.0,33437.0
2026.02.25,12310.0,-55.0,12410.0,12410.0,12270.0,33340.0
2026.02.24,12365.0,40.0,12325.0,12400.0,12325.0,31960.0
2026.02.23,12325.0,-110.0,12435.0,12445.0,12300.0,34699.0
2026.02.20,12435.0,50.0,12475.0,12475.0,12385.0,31414.0
2026.02.19,12385.0,50.0,12700.0,12700.0,12315.0,30786.0
2026.02.13,12335.0,-165.0,12450.0,12450.0,12215.0,39976.0
2026.02.12,12500.0,-50.0,12915.0,12915.0,12480.0,34374.0
2026.02.11,12550.0,-60.0,12610.0,12640.0,12450.0,30142.0
2026.02.10,12610.0,-10.0,12750.0,12750.0,12560.0,28813.0
2026.02.09,12620.0,190.0,12760.0,12760.0,12455.0,37745.0
2026.02.06,12430.0,-100.0,12285.0,12490.0,12230.0,69223.0
2026.02.05,12530.0,225.0,12305.0,12530.0,12295.0,37055.0
2026.02.04,12305.0,30.0,12275.0,12325.0,12275.0,33992.0
2026.02.03,12275.0,105.0,12220.0,12330.0,12220.0,35377.0
2026.02.02,12170.0,155.0,12020.0,12250.0,12020.0,34647.0
2026.01.30,12015.0,15.0,12000.0,12075.0,11990.0,22296.0
2026.01.29,12000.0,-45.0,12360.0,12360.0,11950.0,26358.0
2026.01.28,12055.0,-155.0,12330.0,12330.0,11985.0,43555.0
2026.01.27,12210.0,90.0,12120.0,12260.0,12120.0,65404.0
2026.01.26,12120.0,-200.0,12275.0,12290.0,12060.0,44997.0
2026.01.23,12320.0,15.0,12305.0,12345.0,12240.0,29306.0
2026.01.22,12305.0,125.0,12190.0,12330.0,12190.0,22475.0
2026.01.21,12180.0,-115.0,12375.0,12375.0,12115.0,29430.0
2026.01.20,12295.0,-55.0,12475.0,12475.0,12295.0,26513.0
2026.01.19,12350.0,-105.0,12455.0,12455.0,12330.0,32034.0
2026.01.16,12455.0,140.0,12475.0,12475.0,12340.0,30236.0
2026.01.15,12315.0,-60.0,12375.0,12375.0,12250.0,23536.0
2026.01.14,12375.0,-10.0,12490.0,12490.0,12310.0,24969.0
2026.01.13,12385.0,195.0,12190.0,12390.0,12190.0,33769.0
2026.01.12,12190.0,90.0,12105.0,12250.0,12105.0,36303.0
2026.01.09,12100.0,150.0,11950.0,12145.0,11950.0,42614.0
2026.01.08,11950.0,-105.0,12055.0,12055.0,11950.0,25843.0
2026.01.07,12055.0,105.0,11950.0,12090.0,11950.0,24482.0
2026.01.06,11950.0,50.0,11905.0,11960.0,11880.0,31818.0
2026.01.05,11900.0,50.0,11895.0,11945.0,11850.0,46027.0
2026.01.02,11850.0,-45.0,11890.0,11890.0,11765.0,42693.0
2025.12.30,11895.0,55.0,11845.0,11895.0,11800.0,19412.0
2025.12.29,11840.0,-105.0,12060.0,12060.0,11840.0,27944.0
2025.12.26,11960.0,0.0,11960.0,12070.0,11850.0,21496.0
2025.12.24,11960.0,-260.0,12350.0,12350.0,11955.0,42213.0
2025.12.23,12220.0,90.0,12210.0,12240.0,12195.0,38319.0
2025.12.22,12130.0,125.0,12025.0,12135.0,12025.0,18064.0
2025.12.19,12005.0,30.0,12075.0,12075.0,11980.0,20425.0
2025.12.18,11975.0,-60.0,12200.0,12200.0,11925.0,16156.0
2025.12.17,12035.0,20.0,12245.0,12245.0,11955.0,15636.0
2025.12.16,12015.0,-40.0,12150.0,12150.0,11965.0,22334.0
2025.12.15,12055.0,-15.0,12085.0,12105.0,12040.0,17536.0
2025.12.12,12070.0,115.0,12085.0,12085.0,12000.0,18695.0
2025.12.11,11955.0,20.0,11985.0,12000.0,11930.0,19137.0
2025.12.10,11935.0,-25.0,11885.0,12000.0,11885.0,17471.0
2025.12.09,11960.0,-25.0,11955.0,11960.0,11900.0,17287.0
2025.12.08,11985.0,-10.0,11995.0,12025.0,11970.0,26800.0
2025.12.05,11995.0,-15.0,12010.0,12030.0,11985.0,18803.0
2025.12.04,12010.0,60.0,11995.0,12020.0,11915.0,19663.0
2025.12.03,11950.0,35.0,11915.0,11970.0,11910.0,16092.0
2025.12.02,11915.0,-30.0,12070.0,12070.0,11900.0,26082.0
2025.12.01,11945.0,0.0,12070.0,12070.0,11910.0,20195.0
2025.11.28,11945.0,35.0,12065.0,12065.0,11905.0,18093.0
2025.11.27,11910.0,15.0,11970.0,11970.0,11890.0,21887.0
2025.11.26,11910.0,135.0,11815.0,11915.0,11810.0,16770.0
2025.11.25,11775.0,35.0,11755.0,11815.0,11700.0,12787.0
2025.11.24,11740.0,190.0,11695.0,11745.0,11670.0,22297.0
2025.11.21,11550.0,-225.0,11670.0,11670.0,11525.0,18223.0
2025.11.20,11775.0,145.0,11700.0,11785.0,11520.0,10741.0
2025.11.19,11630.0,0.0,11630.0,11660.0,11580.0,14789.0
2025.11.18,11630.0,-140.0,11770.0,11770.0,11570.0,17804.0
2025.11.17,11770.0,40.0,11845.0,11845.0,11625.0,16173.0
2025.11.14,11730.0,-240.0,11910.0,11910.0,11660.0,28258.0
2025.11.13,11970.0,25.0,11970.0,12000.0,11925.0,12857.0
2025.11.12,11945.0,145.0,11810.0,11965.0,11805.0,29671.0
2025.11.11,11800.0,145.0,11800.0,11830.0,11660.0,15137.0
2025.11.10,11655.0,5.0,11650.0,11680.0,11635.0,31713.0
2025.11.07,11650.0,75.0,11640.0,11650.0,11510.0,36844.0
2025.11.06,11575.0,15.0,11585.0,11620.0,11550.0,14040.0
2025.11.05,11560.0,40.0,11520.0,11580.0,11495.0,41290.0
2025.11.04,11520.0,-40.0,11555.0,11560.0,11500.0,21981.0
2025.11.03,11560.0,-20.0,11575.0,11585.0,11425.0,28087.0
2025.10.31,11580.0,-70.0,11650.0,11650.0,11575.0,34155.0
2025.10.30,11650.0,-110.0,11760.0,11760.0,11380.0,38379.0
2025.10.29,11770.0,-50.0,11810.0,11810.0,11730.0,34870.0
2025.10.28,11820.0,30.0,12100.0,12100.0,11795.0,34855.0
2025.10.27,11790.0,85.0,11710.0,11920.0,11670.0,38505.0
2025.10.24,11705.0,50.0,11755.0,11755.0,11655.0,24645.0
2025.10.23,11655.0,50.0,11610.0,11665.0,11560.0,29966.0
