날짜,종가,전일비,시가,고가,저가,거래량
2026.06.16,12350.0,40.0,12310.0,12430.0,12305.0,26932.0
2026.06.15,12310.0,145.0,12180.0,12310.0,12180.0,26180.0
2026.06.12,12165.0,20.0,12175.0,12190.0,12155.0,29355.0
2026.06.11,12145.0,-20.0,12165.0,12170.0,12070.0,32718.0
2026.06.10,12165.0,10.0,12150.0,12170.0,12035.0,36837.0
2026.06.09,12155.0,-95.0,12345.0,12345.0,12105.0,49526.0
2026.06.08,12250.0,-270.0,12520.0,12520.0,12250.0,71343.0
2026.06.05,12520.0,170.0,12340.0,12560.0,12340.0,41510.0
2026.06.04,12350.0,110.0,12240.0,12360.0,11850.0,62115.0
2026.06.02,12240.0,55.0,12185.0,12280.0,12100.0,64181.0
2026.06.01,12185.0,-55.0,12240.0,12300.0,12155.0,63647.0
2026.05.29,12240.0,100.0,12140.0,12240.0,12120.0,45602.0
2026.05.28,12140.0,-25.0,12210.0,12220.0,12120.0,29247.0
2026.05.27,12235.0,-95.0,12400.0,12400.0,12100.0,61658.0
2026.05.26,12330.0,40.0,12290.0,12355.0,12290.0,50511.0
2026.05.22,12290.0,110.0,12180.0,12290.0,12175.0,40074.0
2026.05.21,12180.0,5.0,12175.0,12205.0,12050.0,42216.0
2026.05.20,12175.0,10.0,12200.0,12210.0,12145.0,53714.0
2026.05.19,12165.0,110.0,11780.0,12165.0,11780.0,34276.0
2026.05.18,12055.0,45.0,12000.0,12080.0,11950.0,45693.0
2026.05.15,12010.0,85.0,11925.0,12100.0,11925.0,51859.0
2026.05.14,11925.0,45.0,11880.0,11950.0,11880.0,38592.0
2026.05.13,11880.0,65.0,11815.0,11940.0,11815.0,69265.0
2026.05.12,11815.0,90.0,11875.0,11875.0,11700.0,76433.0
2026.05.11,11725.0,45.0,11680.0,11725.0,11660.0,105987.0
2026.05.08,11680.0,85.0,11595.0,11680.0,11590.0,53336.0
2026.05.07,11595.0,-20.0,11565.0,11630.0,11545.0,60704.0
2026.05.06,11615.0,-70.0,11685.0,11695.0,11170.0,110652.0
2026.05.04,11685.0,-25.0,11700.0,11715.0,11680.0,67549.0
2026.04.30,11710.0,-55.0,11780.0,11845.0,11710.0,39218.0
2026.04.29,11765.0,5.0,11830.0,11832.0,11700.0,34759.0
2026.04.28,11830.0,25.0,11840.0,11840.0,11805.0,31503.0
2026.04.27,11805.0,-70.0,11875.0,11885.0,11780.0,64279.0
2026.04.24,11875.0,25.0,11830.0,11900.0,11830.0,40606.0
2026.04.23,11850.0,50.0,11810.0,11855.0,11755.0,40631.0
2026.04.22,11800.0,50.0,11765.0,11810.0,11755.0,35903.0
2026.04.21,11750.0,10.0,11735.0,11770.0,11725.0,43463.0
2026.04.20,11740.0,0.0,11740.0,11760.0,11700.0,40157.0
2026.04.17,11740.0,45.0,11700.0,11770.0,11700.0,47815.0
2026.04.16,11695.0,75.0,11620.0,11702.0,11620.0,33313.0
2026.04.15,11620.0,40.0,11580.0,11670.0,11575.0,41382.0
2026.04.14,11580.0,40.0,11540.0,11590.0,11535.0,65690.0
2026.04.13,11540.0,-10.0,11550.0,11570.0,11485.0,26977.0
2026.04.10,11550.0,45.0,11555.0,11555.0,11455.0,37626.0
2026.04.09,11505.0,45.0,11355.0,11510.0,11355.0,28041.0
2026.04.08,11460.0,20.0,11495.0,11550.0,11455.0,47647.0
2026.04.07,11440.0,-25.0,11465.0,11475.0,11435.0,33414.0
2026.04.06,11465.0,10.0,11450.0,11515.0,11450.0,52944.0
2026.04.03,11455.0,5.0,11450.0,11545.0,11365.0,31495.0
2026.04.02,11450.0,105.0,11405.0,11530.0,11400.0,39980.0
2026.04.01,11345.0,40.0,11310.0,11415.0,11310.0,22256.0
2026.03.31,11305.0,40.0,11265.0,11345.0,11130.0,49189.0
2026.03.30,11265.0,-135.0,11210.0,11340.0,11130.0,55265.0
2026.03.27,11465.0,-20.0,11485.0,11490.0,11395.0,33162.0
2026.03.26,11485.0,20.0,11500.0,11500.0,11460.0,24437.0
2026.03.25,11465.0,85.0,11510.0,11510.0,11395.0,24984.0
2026.03.24,11380.0,-35.0,11335.0,11425.0,11330.0,43490.0
2026.03.23,11415.0,-75.0,11490.0,11490.0,11365.0,59974.0
2026.03.20,11490.0,-45.0,11575.0,11575.0,11395.0,58884.0
2026.03.19,11535.0,-45.0,11525.0,11565.0,11520.0,33511.0
2026.03.18,11580.0,55.0,11525.0,11610.0,11525.0,44789.0
2026.03.17,11525.0,25.0,11530.0,11540.0,11500.0,54364.0
2026.03.16,11500.0,-15.0,11515.0,11550.0,11450.0,27942.0
2026.03.13,11515.0,10.0,11505.0,11530.0,11430.0,57558.0
2026.03.12,11505.0,-60.0,11650.0,11650.0,11390.0,19481.0
2026.03.11,11565.0,95.0,11520.0,11580.0,11495.0,27782.0
2026.03.10,11470.0,45.0,11475.0,11550.0,11445.0,26012.0
2026.03.09,11425.0,-140.0,11500.0,11530.0,11340.0,99170.0
2026.03.06,11565.0,40.0,11590.0,11590.0,11525.0,30092.0
2026.03.05,11525.0,70.0,11560.0,11560.0,11510.0,46151.0
2026.03.04,11455.0,-20.0,11505.0,11585.0,11425.0,149691.0
2026.03.03,11475.0,130.0,11025.0,11570.0,11025.0,156837.0
2026.02.27,11345.0,-10.0,11355.0,11380.0,11255.0,80137.0
2026.02.26,11355.0,-50.0,11555.0,11555.0,11015.0,110593.0
2026.02.25,11470.0,-75.0,11550.0,11585.0,11445.0,107670.0
2026.02.24,11545.0,15.0,11700.0,11700.0,11510.0,47719.0
2026.02.23,11530.0,-60.0,11590.0,11650.0,11490.0,93459.0
2026.02.20,11590.0,-10.0,11595.0,11640.0,11495.0,77033.0
2026.02.19,11600.0,0.0,11750.0,11750.0,11600.0,106151.0
2026.02.13,11600.0,-20.0,11620.0,11680.0,11500.0,85671.0
2026.02.12,11620.0,-95.0,11930.0,11930.0,11605.0,83325.0
2026.02.11,11715.0,20.0,11720.0,11730.0,11680.0,47342.0
2026.02.10,11695.0,35.0,11780.0,11780.0,11665.0,48988.0
2026.02.09,11660.0,50.0,11640.0,11770.0,11620.0,65246.0
2026.02.06,11610.0,40.0,11520.0,11610.0,11400.0,76140.0
2026.02.05,11570.0,35.0,11535.0,11600.0,11535.0,53793.0
2026.02.04,11535.0,25.0,11360.0,11560.0,11360.0,70997.0
2026.02.03,11510.0,65.0,11710.0,11710.0,11445.0,58997.0
