날짜,종가,전일비,시가,고가,저가,거래량
2026.08.07,8100.0,-260.0,8200.0,8200.0,8065.0,1230.0
2026.08.06,8360.0,-50.0,8410.0,8515.0,8240.0,12318.0
2026.08.05,8410.0,225.0,8285.0,8425.0,8285.0,9365.0
2026.08.04,8185.0,225.0,8060.0,8185.0,8045.0,16466.0
2026.08.03,7960.0,45.0,7915.0,8030.0,7915.0,2170.0
2026.07.31,7915.0,-180.0,7905.0,7980.0,6260.0,11523.0
2026.07.30,8095.0,105.0,8090.0,8200.0,7755.0,9633.0
2026.07.29,7990.0,225.0,7860.0,8130.0,7850.0,13162.0
2026.07.28,7765.0,145.0,7715.0,7870.0,7690.0,23544.0
2026.07.27,7620.0,345.0,7365.0,7625.0,7365.0,788.0
2026.07.24,7275.0,-225.0,7475.0,7475.0,7075.0,2592.0
2026.07.23,7500.0,-310.0,7770.0,7770.0,7480.0,4519.0
2026.07.22,7810.0,-220.0,8125.0,8130.0,7805.0,2300.0
2026.07.21,8030.0,90.0,8035.0,8330.0,7895.0,707.0
2026.07.20,7940.0,-215.0,8155.0,8155.0,7940.0,2457.0
2026.07.16,8155.0,-130.0,8285.0,8285.0,8105.0,1296.0
2026.07.15,8285.0,-160.0,8600.0,8600.0,8105.0,855.0
2026.07.14,8445.0,90.0,8355.0,8455.0,8340.0,3401.0
2026.07.13,8355.0,-185.0,8540.0,8540.0,8325.0,786.0
2026.07.10,8540.0,-100.0,8455.0,8665.0,8010.0,6859.0
2026.07.09,8640.0,15.0,8600.0,8640.0,8505.0,7578.0
2026.07.08,8625.0,-60.0,8430.0,8775.0,8422.0,3082.0
2026.07.07,8685.0,-30.0,8715.0,8810.0,8680.0,10806.0
2026.07.06,8715.0,-55.0,8485.0,8770.0,8485.0,1468.0
2026.07.03,8770.0,-15.0,8785.0,8785.0,8695.0,3552.0
2026.07.02,8785.0,340.0,8565.0,8850.0,8550.0,5385.0
2026.07.01,8445.0,-55.0,8505.0,8505.0,8340.0,3607.0
2026.06.30,8500.0,105.0,8405.0,8510.0,8370.0,4089.0
2026.06.29,8395.0,605.0,7895.0,8395.0,7895.0,5457.0
2026.06.26,7790.0,-460.0,8040.0,8040.0,7755.0,1733.0
