날짜,종가,전일비,시가,고가,저가,거래량
2026.08.12,12775.0,-215.0,13085.0,13285.0,12735.0,942.0
2026.08.11,12990.0,-165.0,13155.0,13235.0,12990.0,808.0
2026.08.10,13155.0,100.0,13055.0,13295.0,13055.0,1400.0
2026.08.07,13055.0,185.0,12870.0,13185.0,12820.0,3067.0
2026.08.06,12870.0,-300.0,13165.0,13170.0,12850.0,400.0
2026.08.05,13170.0,155.0,13015.0,14000.0,12980.0,2600.0
2026.08.04,13015.0,75.0,12940.0,13015.0,12620.0,2438.0
2026.08.03,12940.0,-205.0,13145.0,13145.0,12845.0,1122.0
2026.07.31,13145.0,-255.0,15200.0,15200.0,12860.0,3237.0
2026.07.30,13400.0,-335.0,13735.0,13835.0,12915.0,5255.0
2026.07.29,13735.0,310.0,13515.0,13800.0,13370.0,11208.0
2026.07.28,13425.0,-290.0,13500.0,13850.0,13215.0,3578.0
2026.07.27,13715.0,410.0,13400.0,13715.0,13340.0,1590.0
2026.07.24,13305.0,-315.0,13620.0,13620.0,13200.0,1184.0
2026.07.23,13620.0,70.0,13645.0,13800.0,13450.0,2842.0
2026.07.22,13550.0,-435.0,13660.0,13965.0,13550.0,12564.0
2026.07.21,13985.0,260.0,13825.0,14000.0,13675.0,4045.0
2026.07.20,13725.0,-570.0,14295.0,14640.0,13650.0,2486.0
2026.07.16,14295.0,265.0,14030.0,14520.0,13860.0,3139.0
2026.07.15,14030.0,115.0,16000.0,16000.0,13855.0,3628.0
2026.07.14,13915.0,50.0,13865.0,13930.0,13515.0,2218.0
2026.07.13,13865.0,-395.0,14440.0,14440.0,13765.0,3589.0
2026.07.10,14260.0,-60.0,14320.0,14855.0,13795.0,2840.0
2026.07.09,14320.0,130.0,14290.0,14890.0,14055.0,7392.0
2026.07.08,14190.0,290.0,14000.0,14190.0,13165.0,3258.0
2026.07.07,13900.0,-90.0,13990.0,15165.0,13820.0,1723.0
2026.07.06,13990.0,250.0,13840.0,15300.0,13485.0,3072.0
2026.07.03,13740.0,-175.0,13590.0,14030.0,13590.0,1946.0
2026.07.02,13915.0,-205.0,13765.0,14220.0,13375.0,4807.0
2026.07.01,14120.0,20.0,14100.0,14350.0,13745.0,1971.0
2026.06.30,14100.0,445.0,14060.0,14135.0,13640.0,4850.0
2026.06.29,13655.0,370.0,13380.0,13760.0,13300.0,1247.0
2026.06.26,13285.0,-775.0,13705.0,14060.0,13280.0,12070.0
2026.06.25,14060.0,5.0,14080.0,14180.0,13860.0,13961.0
2026.06.24,14055.0,375.0,13680.0,14055.0,13600.0,5900.0
2026.06.23,13680.0,-795.0,14475.0,14580.0,13630.0,4085.0
2026.06.22,14475.0,380.0,14100.0,14500.0,13755.0,4844.0
2026.06.19,14095.0,240.0,13860.0,14205.0,13855.0,8458.0
2026.06.18,13855.0,605.0,13120.0,13960.0,13120.0,60422.0
2026.06.17,13250.0,-170.0,13425.0,13450.0,13240.0,31012.0
2026.06.16,13420.0,65.0,13355.0,13840.0,13270.0,67405.0
2026.06.15,13355.0,135.0,13315.0,13400.0,13095.0,40978.0
2026.06.12,13220.0,365.0,12945.0,13500.0,12945.0,75732.0
2026.06.11,12855.0,-415.0,12700.0,13365.0,12700.0,38108.0
2026.06.10,13270.0,-380.0,13650.0,13730.0,12905.0,65160.0
2026.06.09,13650.0,5.0,14855.0,14855.0,13530.0,4905.0
2026.06.08,13645.0,-460.0,13685.0,14095.0,13505.0,8529.0
2026.06.05,14105.0,-495.0,14605.0,14945.0,14005.0,7099.0
2026.06.04,14600.0,500.0,14100.0,14795.0,14100.0,17380.0
2026.06.02,14100.0,400.0,13800.0,14245.0,13320.0,17441.0
2026.06.01,13700.0,-700.0,14340.0,14405.0,13700.0,12956.0
2026.05.29,14400.0,250.0,14150.0,14540.0,14135.0,10688.0
2026.05.28,14150.0,220.0,13930.0,14240.0,13785.0,16435.0
2026.05.27,13930.0,55.0,13875.0,14250.0,13630.0,31189.0
2026.05.26,13875.0,290.0,13675.0,13990.0,13675.0,6818.0
2026.05.22,13585.0,635.0,13255.0,13585.0,12885.0,11616.0
2026.05.21,12950.0,-355.0,13305.0,13390.0,12950.0,13036.0
2026.05.20,13305.0,100.0,13300.0,13400.0,12885.0,6767.0
2026.05.19,13205.0,-40.0,13245.0,13292.0,12810.0,10221.0
2026.05.18,13245.0,155.0,12710.0,13405.0,12575.0,8862.0
2026.05.15,13090.0,-655.0,13745.0,13745.0,13090.0,14634.0
2026.05.14,13745.0,165.0,13580.0,13955.0,13495.0,26629.0
2026.05.13,13580.0,410.0,13170.0,13580.0,12925.0,46487.0
2026.05.12,13170.0,180.0,12990.0,13215.0,12985.0,29068.0
2026.05.11,12990.0,415.0,12510.0,13005.0,12510.0,12609.0
2026.05.08,12575.0,-25.0,12600.0,12630.0,12400.0,2639.0
2026.05.07,12600.0,290.0,12310.0,12600.0,12005.0,24767.0
2026.05.06,12310.0,150.0,12160.0,12475.0,11920.0,14277.0
2026.05.04,12160.0,200.0,11960.0,12220.0,11920.0,16133.0
2026.04.30,11960.0,55.0,11905.0,12190.0,11620.0,2755.0
2026.04.29,11905.0,270.0,11720.0,11945.0,11580.0,11277.0
2026.04.28,11635.0,-330.0,12315.0,12315.0,11540.0,7771.0
2026.04.27,11965.0,-240.0,12285.0,12285.0,11945.0,10150.0
2026.04.24,12205.0,-125.0,12330.0,12330.0,11765.0,3695.0
2026.04.23,12330.0,20.0,12310.0,12540.0,12215.0,10283.0
2026.04.22,12310.0,265.0,12045.0,12310.0,11725.0,15502.0
2026.04.21,12045.0,-5.0,12060.0,12130.0,11880.0,7105.0
2026.04.20,12050.0,25.0,12025.0,12230.0,11750.0,39029.0
2026.04.17,12025.0,175.0,11875.0,12100.0,11375.0,25790.0
2026.04.16,11850.0,425.0,11425.0,11850.0,11215.0,38404.0
2026.04.15,11425.0,-130.0,11640.0,11760.0,11425.0,7756.0
2026.04.14,11555.0,85.0,11555.0,11795.0,11430.0,17138.0
2026.04.13,11470.0,-55.0,11195.0,11595.0,11195.0,5665.0
2026.04.10,11525.0,285.0,11290.0,11545.0,11202.0,18504.0
2026.04.09,11240.0,95.0,11200.0,11350.0,11135.0,8019.0
2026.04.08,11145.0,540.0,10650.0,11157.0,10650.0,4992.0
2026.04.07,10605.0,0.0,10645.0,10665.0,10600.0,1603.0
2026.04.06,10605.0,-30.0,10600.0,10635.0,10600.0,1154.0
2026.04.03,10635.0,-90.0,10805.0,11155.0,10592.0,5652.0
2026.04.02,10725.0,-230.0,11200.0,11200.0,10635.0,2111.0
2026.04.01,10955.0,325.0,10940.0,11135.0,10405.0,8929.0
2026.03.31,10630.0,-165.0,11105.0,11200.0,10580.0,2948.0
2026.03.30,10795.0,125.0,10305.0,11100.0,10305.0,3927.0
2026.03.27,10670.0,-170.0,11165.0,11165.0,10530.0,2211.0
2026.03.26,10840.0,-105.0,11250.0,11250.0,10840.0,2452.0
2026.03.25,10945.0,290.0,10965.0,11295.0,10685.0,3534.0
2026.03.24,10655.0,55.0,10920.0,10920.0,10590.0,1943.0
2026.03.23,10600.0,-510.0,11140.0,11140.0,10600.0,4226.0
2026.03.20,11110.0,-135.0,11330.0,11330.0,10855.0,2659.0
2026.03.19,11245.0,-175.0,11500.0,11500.0,11230.0,4753.0
2026.03.18,11420.0,355.0,11380.0,11420.0,11000.0,14747.0
