날짜,종가,전일비,시가,고가,저가,거래량
2026.07.10,49950.0,15.0,49945.0,49950.0,49945.0,761.0
2026.07.09,49935.0,5.0,49935.0,49935.0,49935.0,1.0
2026.07.08,49930.0,15.0,49915.0,49930.0,49915.0,1617.0
2026.07.07,49915.0,10.0,49915.0,49915.0,49915.0,1113.0
2026.07.06,49905.0,-10.0,49925.0,49925.0,49905.0,9.0
2026.07.03,49915.0,10.0,49920.0,49920.0,49915.0,201.0
2026.07.02,49905.0,25.0,49895.0,49905.0,49895.0,30.0
2026.07.01,49880.0,-20.0,49900.0,49900.0,49880.0,55.0
2026.06.30,49900.0,5.0,49895.0,49915.0,49895.0,3553.0
2026.06.29,49895.0,-15.0,49895.0,49900.0,49895.0,459.0
2026.06.26,49910.0,10.0,49910.0,49910.0,49910.0,200.0
2026.06.25,49900.0,10.0,49895.0,49915.0,49895.0,235.0
2026.06.24,49890.0,-10.0,49900.0,49900.0,49890.0,214.0
2026.06.23,49900.0,10.0,49900.0,49900.0,49900.0,24.0
2026.06.22,49890.0,-35.0,49905.0,49905.0,49890.0,1011.0
2026.06.19,49925.0,0.0,49925.0,49925.0,49925.0,40.0
2026.06.18,49925.0,-5.0,49925.0,49925.0,49925.0,455.0
2026.06.17,49930.0,5.0,49930.0,49930.0,49930.0,39.0
2026.06.16,49925.0,15.0,49905.0,49925.0,49905.0,111.0
2026.06.15,49910.0,30.0,49910.0,49910.0,49910.0,1.0
2026.06.12,49880.0,30.0,49865.0,49880.0,49865.0,241.0
2026.06.11,49850.0,0.0,49875.0,49875.0,49850.0,108.0
2026.06.10,49850.0,15.0,49850.0,49850.0,49850.0,68.0
2026.06.09,49835.0,0.0,49830.0,49835.0,49830.0,2131.0
2026.06.08,49835.0,-15.0,49835.0,49835.0,49830.0,673.0
2026.06.05,49850.0,0.0,49850.0,49850.0,49850.0,10.0
2026.06.04,49850.0,-15.0,49875.0,49875.0,49850.0,59.0
2026.06.02,49865.0,-15.0,49855.0,49865.0,49855.0,20307.0
2026.06.01,49880.0,-10.0,49890.0,49900.0,49880.0,6563.0
2026.05.29,49890.0,-5.0,49895.0,49895.0,49890.0,2078.0
2026.05.28,49895.0,0.0,49920.0,49920.0,49890.0,904.0
2026.05.27,49895.0,-20.0,49915.0,49920.0,49895.0,700.0
