날짜,종가,전일비,시가,고가,저가,거래량
2026.07.30,102145.0,25.0,102145.0,102145.0,102145.0,29.0
2026.07.29,102120.0,15.0,102115.0,102120.0,102115.0,39.0
2026.07.28,102105.0,10.0,102105.0,102110.0,102105.0,25.0
2026.07.27,102095.0,20.0,102095.0,102095.0,102095.0,19.0
2026.07.24,102075.0,5.0,102075.0,102075.0,102075.0,19.0
2026.07.23,102070.0,25.0,102075.0,102075.0,102070.0,15.0
2026.07.22,102045.0,15.0,102045.0,102045.0,102045.0,29.0
2026.07.21,102030.0,20.0,102020.0,102030.0,102020.0,11.0
2026.07.20,102010.0,5.0,102015.0,102015.0,102010.0,21.0
2026.07.16,102005.0,10.0,102000.0,102005.0,102000.0,20.0
2026.07.15,101995.0,45.0,101990.0,101995.0,101990.0,20.0
2026.07.14,101950.0,10.0,101950.0,101950.0,101950.0,15.0
2026.07.13,101940.0,10.0,101945.0,101945.0,101940.0,11.0
2026.07.10,101930.0,20.0,101925.0,101930.0,101925.0,302.0
2026.07.09,101910.0,25.0,101910.0,101910.0,101910.0,20.0
2026.07.08,101885.0,0.0,101890.0,101890.0,101885.0,17.0
2026.07.07,101885.0,15.0,101875.0,101885.0,101875.0,12.0
2026.07.06,101870.0,30.0,101870.0,101870.0,101865.0,21.0
2026.07.03,101840.0,20.0,101835.0,101840.0,101835.0,35.0
2026.07.02,101820.0,30.0,101820.0,101820.0,101820.0,10.0
2026.07.01,101790.0,-5.0,101790.0,101790.0,101790.0,70.0
2026.06.30,101795.0,10.0,101795.0,101795.0,101795.0,10.0
2026.06.29,101785.0,5.0,101785.0,101785.0,101785.0,10.0
2026.06.26,101780.0,0.0,101785.0,101785.0,101780.0,42.0
2026.06.25,101780.0,20.0,101780.0,101780.0,101780.0,5.0
2026.06.24,101760.0,0.0,101760.0,101760.0,101760.0,20.0
2026.06.23,101760.0,10.0,101760.0,101760.0,101760.0,1.0
2026.06.22,101750.0,5.0,101750.0,101750.0,101750.0,21.0
2026.06.19,101745.0,0.0,101755.0,101755.0,101745.0,18.0
2026.06.18,101745.0,25.0,101745.0,101745.0,101745.0,9.0
2026.06.17,101720.0,0.0,101720.0,101720.0,101720.0,0.0
2026.06.16,101720.0,0.0,101720.0,101720.0,101720.0,0.0
2026.06.15,101720.0,5.0,101720.0,101720.0,101720.0,45.0
2026.06.12,101715.0,5.0,101710.0,101715.0,101710.0,20.0
2026.06.11,101710.0,25.0,101710.0,101710.0,101705.0,60.0
2026.06.10,101685.0,-5.0,101685.0,101685.0,101685.0,59.0
2026.06.09,101690.0,0.0,101690.0,101690.0,101690.0,10.0
2026.06.08,101690.0,0.0,101690.0,101690.0,101690.0,29.0
2026.06.05,101690.0,0.0,101690.0,101690.0,101690.0,10.0
2026.06.04,101690.0,20.0,101680.0,101690.0,101680.0,61.0
2026.06.02,101670.0,15.0,101670.0,101670.0,101670.0,41.0
2026.06.01,101655.0,10.0,101655.0,101660.0,101655.0,28.0
2026.05.29,101645.0,20.0,101645.0,101645.0,101645.0,6.0
2026.05.28,101625.0,15.0,101635.0,101635.0,101625.0,24.0
2026.05.27,101610.0,5.0,101610.0,101610.0,101610.0,20.0
2026.05.26,101605.0,5.0,101605.0,101605.0,101600.0,28.0
2026.05.22,101600.0,10.0,101600.0,101600.0,101600.0,16.0
2026.05.21,101590.0,30.0,101590.0,101590.0,101590.0,19.0
2026.05.20,101560.0,5.0,101560.0,101560.0,101560.0,124.0
2026.05.19,101555.0,0.0,101555.0,101555.0,101555.0,10.0
2026.05.18,101555.0,15.0,101545.0,101555.0,101545.0,333.0
2026.05.15,101540.0,0.0,101540.0,101540.0,101540.0,20.0
2026.05.14,101540.0,25.0,101535.0,101540.0,101535.0,70.0
2026.05.13,101515.0,15.0,101510.0,101515.0,101510.0,11.0
2026.05.12,101500.0,0.0,101505.0,101505.0,101500.0,44.0
2026.05.11,101500.0,20.0,101500.0,101500.0,101495.0,16.0
2026.05.08,101480.0,5.0,101480.0,101480.0,101480.0,9.0
2026.05.07,101475.0,15.0,101475.0,101480.0,101475.0,25.0
2026.05.06,101460.0,15.0,101455.0,101460.0,101450.0,40.0
2026.05.04,101445.0,15.0,101445.0,101450.0,101445.0,30.0
2026.04.30,101430.0,10.0,101430.0,101440.0,101430.0,119.0
2026.04.29,101420.0,35.0,101420.0,101420.0,101420.0,10.0
2026.04.28,101385.0,5.0,101390.0,101390.0,101385.0,35.0
2026.04.27,101380.0,15.0,101380.0,101385.0,101380.0,35.0
2026.04.24,101365.0,10.0,101370.0,101370.0,101365.0,10.0
2026.04.23,101355.0,25.0,101355.0,101355.0,101355.0,5.0
2026.04.22,101330.0,0.0,101330.0,101330.0,101330.0,11.0
2026.04.21,101330.0,15.0,101325.0,101330.0,101325.0,8.0
2026.04.20,101315.0,5.0,101320.0,101320.0,101315.0,3.0
2026.04.17,101310.0,10.0,101305.0,101310.0,101300.0,244.0
2026.04.16,101300.0,30.0,101300.0,101300.0,101295.0,273.0
2026.04.15,101270.0,0.0,101275.0,101275.0,101270.0,125.0
2026.04.14,101270.0,20.0,101270.0,101270.0,101270.0,21.0
2026.04.13,101250.0,5.0,101255.0,101255.0,101250.0,25.0
2026.04.10,101245.0,10.0,101235.0,101245.0,101235.0,16.0
2026.04.09,101235.0,25.0,101235.0,101235.0,101235.0,10.0
2026.04.08,101210.0,10.0,101205.0,101210.0,101205.0,44.0
2026.04.07,101200.0,20.0,101200.0,101200.0,101195.0,12.0
