날짜,종가,전일비,시가,고가,저가,거래량
2026.06.23,7670.0,-270.0,7900.0,7985.0,7595.0,11662.0
2026.06.22,7940.0,-40.0,7980.0,7985.0,7880.0,6792.0
2026.06.19,7980.0,10.0,7950.0,8175.0,7945.0,2812.0
2026.06.18,7970.0,5.0,7965.0,8045.0,7940.0,4041.0
2026.06.17,7965.0,25.0,8025.0,8035.0,7925.0,4531.0
2026.06.16,7940.0,-125.0,8065.0,8300.0,7935.0,24544.0
2026.06.15,8065.0,-25.0,8090.0,8180.0,8020.0,6063.0
2026.06.12,8090.0,140.0,8000.0,8225.0,8000.0,9642.0
2026.06.11,7950.0,-105.0,8050.0,8185.0,7885.0,5433.0
2026.06.10,8055.0,-135.0,8360.0,8360.0,8040.0,5554.0
2026.06.09,8190.0,-45.0,8235.0,8385.0,7995.0,4286.0
2026.06.08,8235.0,-220.0,8400.0,8400.0,8200.0,4382.0
2026.06.05,8455.0,-35.0,8435.0,8675.0,8435.0,17636.0
2026.06.04,8490.0,-160.0,8520.0,8675.0,8350.0,6308.0
2026.06.02,8650.0,390.0,8150.0,8665.0,8150.0,52682.0
2026.06.01,8260.0,35.0,8225.0,8260.0,8100.0,12594.0
2026.05.29,8225.0,115.0,8100.0,8385.0,8100.0,3195.0
2026.05.28,8110.0,-90.0,8480.0,8480.0,8100.0,6226.0
2026.05.27,8300.0,-65.0,8365.0,8407.0,8195.0,23107.0
2026.05.26,8365.0,20.0,8400.0,8400.0,8250.0,9833.0
2026.05.22,8345.0,195.0,8350.0,8350.0,8180.0,9110.0
2026.05.21,8150.0,-45.0,8195.0,8390.0,8120.0,12498.0
2026.05.20,8195.0,25.0,8430.0,8430.0,8020.0,9584.0
2026.05.19,8170.0,10.0,8170.0,8245.0,8125.0,9208.0
2026.05.18,8160.0,-130.0,8470.0,8470.0,8150.0,16833.0
2026.05.15,8290.0,-280.0,8685.0,8685.0,8290.0,15785.0
2026.05.14,8570.0,100.0,8525.0,8735.0,8500.0,54910.0
2026.05.13,8470.0,95.0,8375.0,8480.0,8375.0,16055.0
