날짜,종가,전일비,시가,고가,저가,거래량
2026.07.08,13020.0,-615.0,13175.0,13970.0,12855.0,2463729.0
2026.07.07,13635.0,-740.0,14080.0,14295.0,13220.0,2503433.0
2026.07.06,14375.0,-125.0,14660.0,14900.0,14000.0,1380459.0
2026.07.03,14500.0,705.0,13795.0,14580.0,13210.0,2216732.0
2026.07.02,13795.0,-1140.0,14035.0,14580.0,13610.0,2741472.0
2026.07.01,14935.0,-305.0,15435.0,15515.0,14550.0,1960973.0
2026.06.30,15240.0,55.0,15175.0,15605.0,14790.0,1594719.0
2026.06.29,15185.0,-155.0,15330.0,15385.0,14655.0,1708936.0
2026.06.26,15560.0,-870.0,16265.0,16305.0,14985.0,5195798.0
2026.06.25,16430.0,935.0,16325.0,16595.0,16085.0,4432327.0
2026.06.24,15495.0,420.0,15100.0,15780.0,14730.0,3125303.0
2026.06.23,15075.0,-1655.0,16730.0,16765.0,15075.0,5042992.0
2026.06.22,16730.0,190.0,16270.0,16850.0,16215.0,2586475.0
2026.06.19,16540.0,55.0,17010.0,17075.0,16150.0,4139523.0
2026.06.18,16485.0,520.0,15965.0,16525.0,15965.0,3511246.0
2026.06.17,15965.0,280.0,15475.0,15970.0,15475.0,2241380.0
2026.06.16,15685.0,290.0,15710.0,15765.0,15350.0,2272946.0
2026.06.15,15395.0,740.0,15345.0,15480.0,15255.0,2127616.0
2026.06.12,14655.0,665.0,14750.0,15165.0,14550.0,2828326.0
2026.06.11,13990.0,10.0,13430.0,14055.0,13295.0,1932693.0
2026.06.10,13980.0,-640.0,14100.0,14400.0,13580.0,2148202.0
2026.06.09,14620.0,1120.0,14020.0,14620.0,13680.0,1848417.0
2026.06.08,13500.0,-1225.0,13210.0,14170.0,13210.0,3417042.0
2026.06.05,14725.0,-955.0,15065.0,15160.0,14525.0,3507349.0
2026.06.04,15680.0,-195.0,15610.0,15835.0,15495.0,2656701.0
2026.06.02,15875.0,15.0,15955.0,16140.0,14680.0,3597047.0
2026.06.01,15860.0,725.0,15140.0,15920.0,15140.0,6147196.0
2026.05.29,15135.0,475.0,14925.0,15140.0,14855.0,3373771.0
2026.05.28,14660.0,-130.0,14695.0,14785.0,14050.0,3580639.0
2026.05.27,15005.0,420.0,15370.0,15400.0,15005.0,6503769.0
2026.05.26,14585.0,415.0,14495.0,14700.0,14460.0,4673369.0
2026.05.22,14170.0,45.0,14250.0,14250.0,14040.0,3124559.0
2026.05.21,14125.0,1085.0,13575.0,14130.0,13520.0,3398419.0
2026.05.20,13040.0,-125.0,13180.0,13260.0,12735.0,4073226.0
2026.05.19,13165.0,-445.0,13370.0,13410.0,12870.0,3612326.0
2026.05.18,13610.0,110.0,13245.0,13805.0,12815.0,3939087.0
2026.05.15,13500.0,-815.0,14315.0,14465.0,13230.0,5394653.0
2026.05.14,14315.0,245.0,14120.0,14410.0,14095.0,3155908.0
2026.05.13,14070.0,370.0,13315.0,14075.0,13210.0,2383408.0
2026.05.12,13700.0,-340.0,14205.0,14340.0,13270.0,3706553.0
2026.05.11,14040.0,685.0,13950.0,14160.0,13820.0,2731649.0
2026.05.08,13355.0,35.0,13060.0,13360.0,13005.0,2147777.0
2026.05.07,13320.0,225.0,13250.0,13420.0,12900.0,2682645.0
2026.05.06,13095.0,935.0,12850.0,13150.0,12700.0,2556187.0
2026.05.04,12160.0,505.0,11950.0,12170.0,11845.0,3388382.0
2026.04.30,11655.0,-115.0,11885.0,11885.0,11635.0,2000982.0
2026.04.29,11770.0,-65.0,11645.0,11795.0,11610.0,2302315.0
2026.04.28,12085.0,185.0,11985.0,12140.0,11920.0,6392314.0
2026.04.27,11900.0,265.0,11755.0,11980.0,11735.0,4378075.0
2026.04.24,11635.0,-10.0,11675.0,11720.0,11500.0,2732500.0
2026.04.23,11645.0,95.0,11730.0,11825.0,11385.0,3818065.0
