날짜,종가,전일비,시가,고가,저가,거래량
2026.08.18,10350.0,-595.0,11215.0,11250.0,10210.0,801023.0
2026.08.14,10945.0,595.0,10355.0,11195.0,10350.0,993401.0
2026.08.13,10350.0,245.0,10240.0,10480.0,10140.0,568519.0
2026.08.12,10105.0,65.0,10040.0,10210.0,9780.0,382426.0
2026.08.11,10040.0,10.0,10050.0,10395.0,9910.0,869556.0
2026.08.10,10030.0,480.0,9550.0,10045.0,9425.0,535537.0
2026.08.07,9550.0,-260.0,9900.0,9970.0,9270.0,494363.0
2026.08.06,9810.0,-140.0,10220.0,10385.0,9610.0,506568.0
2026.08.05,9950.0,325.0,9725.0,9990.0,9490.0,547719.0
2026.08.04,9625.0,175.0,9235.0,9655.0,9150.0,803889.0
2026.08.03,9450.0,765.0,8860.0,9850.0,8700.0,1313526.0
2026.07.31,8685.0,1125.0,8015.0,8815.0,7880.0,1138949.0
2026.07.30,7560.0,-460.0,7990.0,8285.0,7455.0,1304725.0
2026.07.29,8020.0,215.0,8165.0,8470.0,7260.0,1914299.0
2026.07.28,7805.0,-790.0,8170.0,8375.0,7680.0,635434.0
2026.07.27,8595.0,280.0,8550.0,8835.0,8385.0,600223.0
2026.07.24,8315.0,-1060.0,9055.0,9055.0,8250.0,875784.0
2026.07.23,9375.0,270.0,9570.0,9610.0,9015.0,1066406.0
2026.07.22,9105.0,985.0,9210.0,9700.0,9050.0,1434244.0
2026.07.21,8120.0,305.0,7785.0,8350.0,7580.0,1058475.0
2026.07.20,7815.0,-455.0,8040.0,8235.0,7715.0,286247.0
2026.07.16,8270.0,-565.0,8625.0,8625.0,8135.0,359388.0
2026.07.15,8835.0,535.0,8530.0,8835.0,8520.0,743862.0
2026.07.14,8300.0,-370.0,8545.0,8600.0,7855.0,598071.0
2026.07.13,8670.0,-500.0,9140.0,9580.0,8580.0,592486.0
2026.07.10,9170.0,440.0,8865.0,9390.0,8865.0,492264.0
2026.07.09,8730.0,100.0,8630.0,9150.0,8410.0,302314.0
2026.07.08,8630.0,-520.0,8850.0,9200.0,8500.0,439743.0
2026.07.07,9150.0,-435.0,9550.0,9630.0,8850.0,361275.0
2026.07.06,9585.0,-115.0,9640.0,9815.0,9295.0,252739.0
2026.07.03,9700.0,160.0,9565.0,9700.0,8910.0,449945.0
2026.07.02,9540.0,-540.0,9800.0,9870.0,9345.0,445370.0
2026.07.01,10080.0,-140.0,10370.0,10525.0,9965.0,405187.0
2026.06.30,10220.0,85.0,10460.0,10490.0,9970.0,355496.0
2026.06.29,10135.0,685.0,9495.0,10320.0,9305.0,627374.0
2026.06.26,9450.0,-720.0,10045.0,10045.0,9165.0,749188.0
2026.06.25,10170.0,-170.0,10545.0,10620.0,10110.0,431549.0
2026.06.24,10340.0,150.0,10500.0,10560.0,10020.0,741161.0
2026.06.23,10190.0,-1295.0,11355.0,11455.0,10080.0,1025498.0
2026.06.22,11485.0,-365.0,11815.0,11815.0,11320.0,704134.0
2026.06.19,11850.0,-360.0,12210.0,12425.0,11525.0,1765404.0
2026.06.18,12210.0,-430.0,12790.0,12795.0,12130.0,508304.0
2026.06.17,12640.0,-285.0,12805.0,12805.0,12475.0,369521.0
2026.06.16,12925.0,-305.0,13485.0,13490.0,12805.0,606532.0
2026.06.15,13230.0,525.0,13400.0,13535.0,13080.0,654226.0
2026.06.12,12705.0,595.0,12780.0,13640.0,12680.0,1103554.0
2026.06.11,12110.0,245.0,11430.0,12110.0,11090.0,608958.0
2026.06.10,11865.0,-620.0,12365.0,12830.0,11490.0,757744.0
2026.06.09,12485.0,-60.0,13100.0,13100.0,11925.0,1052979.0
2026.06.08,12545.0,-1195.0,12375.0,13150.0,12335.0,1141945.0
2026.06.05,13740.0,-720.0,13875.0,14070.0,13115.0,1535055.0
2026.06.04,14460.0,-1140.0,14825.0,15045.0,14275.0,1448646.0
2026.06.02,15600.0,-330.0,16515.0,16810.0,14600.0,2427535.0
2026.06.01,15930.0,1430.0,15090.0,16350.0,15020.0,2700037.0
2026.05.29,14500.0,800.0,14085.0,14610.0,13805.0,1650765.0
2026.05.28,13700.0,-400.0,14555.0,14750.0,13060.0,1978677.0
2026.05.27,14100.0,-235.0,14295.0,14330.0,13840.0,1719127.0
2026.05.26,14335.0,305.0,14525.0,14660.0,14205.0,1462892.0
2026.05.22,14030.0,70.0,14015.0,14150.0,13615.0,1851913.0
2026.05.21,13960.0,1900.0,12655.0,14180.0,12540.0,2509212.0
2026.05.20,12060.0,-420.0,12425.0,12480.0,11700.0,1392125.0
2026.05.19,12480.0,-1335.0,13630.0,13665.0,12220.0,2276284.0
2026.05.18,13815.0,-860.0,14665.0,14930.0,13520.0,2522362.0
2026.05.15,14675.0,-445.0,15300.0,16180.0,14175.0,3755887.0
2026.05.14,15120.0,-380.0,15820.0,15840.0,14780.0,2489556.0
2026.05.13,15500.0,710.0,14900.0,15575.0,14550.0,3600444.0
2026.05.12,14790.0,-290.0,15500.0,16365.0,13810.0,5428021.0
2026.05.11,15080.0,1115.0,14010.0,15565.0,13575.0,4264652.0
2026.05.08,13965.0,1365.0,13195.0,14425.0,13155.0,2882921.0
2026.05.07,12600.0,-25.0,12825.0,13110.0,12520.0,662680.0
2026.05.06,12625.0,-45.0,12675.0,12775.0,12415.0,585879.0
2026.05.04,12670.0,150.0,12895.0,12895.0,12600.0,494526.0
2026.04.30,12520.0,-335.0,13360.0,13500.0,12475.0,998765.0
2026.04.29,12855.0,-125.0,13140.0,13235.0,12705.0,956964.0
2026.04.28,12980.0,115.0,13055.0,13215.0,12665.0,2047985.0
2026.04.27,12865.0,985.0,12135.0,13245.0,12030.0,1878337.0
2026.04.24,11880.0,260.0,11620.0,11950.0,11400.0,733467.0
2026.04.23,11620.0,-215.0,12005.0,12070.0,11455.0,1158196.0
2026.04.22,11835.0,-135.0,11945.0,11950.0,11565.0,634847.0
2026.04.21,11970.0,130.0,12050.0,12050.0,11675.0,737199.0
2026.04.20,11840.0,105.0,11680.0,12110.0,11520.0,739599.0
2026.04.17,11735.0,-5.0,11990.0,11990.0,11595.0,690867.0
2026.04.16,11740.0,390.0,11705.0,11980.0,11630.0,1232997.0
2026.04.15,11350.0,315.0,11350.0,11365.0,11180.0,778432.0
2026.04.14,11035.0,545.0,10795.0,11170.0,10670.0,956825.0
2026.04.13,10490.0,-245.0,10410.0,10520.0,10357.0,600539.0
2026.04.10,10735.0,-35.0,10990.0,10990.0,10695.0,660129.0
2026.04.09,10770.0,-365.0,11205.0,11205.0,10700.0,685887.0
2026.04.08,11135.0,940.0,10765.0,11140.0,10645.0,633968.0
2026.04.07,10195.0,-70.0,10445.0,10675.0,10045.0,874580.0
