날짜,종가,전일비,시가,고가,저가,거래량
2026.06.19,10135.0,-35.0,10365.0,10365.0,10135.0,31837.0
2026.06.18,10170.0,-40.0,10220.0,10230.0,10105.0,18217.0
2026.06.17,10210.0,-40.0,10125.0,10235.0,10115.0,7973.0
2026.06.16,10250.0,170.0,10380.0,10380.0,10160.0,25513.0
2026.06.15,10080.0,0.0,10080.0,10185.0,10055.0,11743.0
2026.06.12,10080.0,-100.0,10185.0,10195.0,10080.0,13506.0
2026.06.11,10180.0,50.0,10020.0,10180.0,9925.0,4482.0
2026.06.10,10130.0,-60.0,10180.0,10245.0,10060.0,17218.0
2026.06.09,10190.0,-25.0,10335.0,10335.0,10090.0,33794.0
2026.06.08,10215.0,-195.0,10515.0,10725.0,9900.0,38143.0
2026.06.05,10410.0,0.0,10330.0,10445.0,10285.0,16366.0
2026.06.04,10410.0,-175.0,10155.0,10550.0,10150.0,53766.0
2026.06.02,10585.0,-5.0,10590.0,10715.0,10570.0,11064.0
2026.06.01,10590.0,245.0,10345.0,10610.0,10330.0,23287.0
2026.05.29,10345.0,170.0,10310.0,10410.0,10300.0,14901.0
2026.05.28,10175.0,-170.0,10350.0,10350.0,10145.0,16233.0
2026.05.27,10345.0,-60.0,10415.0,10415.0,10275.0,4423.0
2026.05.26,10405.0,95.0,10310.0,10415.0,10305.0,14772.0
2026.05.22,10310.0,0.0,10310.0,10310.0,10280.0,29076.0
2026.05.21,10310.0,130.0,10255.0,10330.0,10250.0,8420.0
2026.05.20,10180.0,-140.0,10375.0,10375.0,10180.0,5698.0
2026.05.19,10320.0,130.0,10495.0,10495.0,10265.0,29678.0
2026.05.18,10190.0,-90.0,10140.0,10250.0,10130.0,6125.0
2026.05.15,10280.0,-5.0,10285.0,10350.0,10270.0,20980.0
2026.05.14,10285.0,65.0,10525.0,10525.0,10235.0,9260.0
2026.05.13,10220.0,30.0,10190.0,10235.0,10125.0,25141.0
2026.05.12,10190.0,-50.0,10300.0,10300.0,10180.0,21576.0
2026.05.11,10240.0,55.0,10185.0,10265.0,10185.0,30855.0
2026.05.08,10185.0,110.0,9900.0,10235.0,9900.0,17721.0
2026.05.07,10075.0,115.0,9990.0,10125.0,9975.0,35984.0
2026.05.06,9960.0,-5.0,9945.0,10015.0,9905.0,42712.0
2026.05.04,9965.0,-25.0,10285.0,10285.0,9950.0,13810.0
2026.04.30,9990.0,-30.0,10020.0,10275.0,9985.0,22026.0
2026.04.29,10020.0,-30.0,10135.0,10135.0,10000.0,20722.0
2026.04.28,10050.0,95.0,10080.0,10080.0,9995.0,99887.0
