날짜,종가,전일비,시가,고가,저가,거래량
2026.05.06,9940.0,-330.0,10005.0,10005.0,9850.0,1743992.0
2026.05.04,10270.0,540.0,10165.0,10330.0,10165.0,1730362.0
2026.04.30,9730.0,-325.0,10010.0,10010.0,9730.0,2411748.0
2026.04.29,10055.0,-50.0,10050.0,10080.0,9980.0,642003.0
2026.04.28,10105.0,60.0,10180.0,10180.0,10080.0,2364076.0
2026.04.27,10045.0,-655.0,10595.0,10595.0,10005.0,4372862.0
2026.04.24,10700.0,-415.0,10845.0,10945.0,10695.0,2398438.0
2026.04.23,11115.0,20.0,11145.0,11240.0,11005.0,3166757.0
2026.04.22,11095.0,-45.0,10980.0,11165.0,10980.0,3507805.0
2026.04.21,11140.0,325.0,11010.0,11215.0,11010.0,2884238.0
2026.04.20,10815.0,-300.0,11090.0,11190.0,10810.0,2705704.0
2026.04.17,11115.0,635.0,11090.0,11207.0,11090.0,4695992.0
2026.04.16,10480.0,350.0,10335.0,10485.0,10335.0,1945450.0
2026.04.15,10130.0,-220.0,10300.0,10300.0,10115.0,2547389.0
2026.04.14,10350.0,365.0,10180.0,10400.0,10150.0,2869994.0
