날짜,종가,전일비,시가,고가,저가,거래량
2026.07.20,18790.0,1665.0,18535.0,19275.0,17120.0,15201978.0
2026.07.16,17125.0,2325.0,16305.0,17665.0,16305.0,13997447.0
2026.07.15,14800.0,-2035.0,14580.0,15585.0,14060.0,16826981.0
2026.07.14,16835.0,-1350.0,17955.0,19105.0,15855.0,31602299.0
2026.07.13,18185.0,3370.0,15045.0,18330.0,14185.0,23594438.0
2026.07.10,14815.0,-725.0,14260.0,15230.0,13460.0,19411579.0
2026.07.09,15540.0,-245.0,14440.0,16880.0,14095.0,18751547.0
2026.07.08,15785.0,1700.0,15035.0,16200.0,13540.0,23248508.0
2026.07.07,14085.0,1585.0,13205.0,14885.0,13020.0,24438176.0
2026.07.06,12500.0,-510.0,12200.0,13610.0,11745.0,18326928.0
2026.07.03,13010.0,-2615.0,15275.0,15880.0,12670.0,21177714.0
2026.07.02,15625.0,2500.0,14965.0,16020.0,14175.0,13866681.0
2026.07.01,13125.0,1360.0,11760.0,13500.0,11475.0,16863944.0
2026.06.30,11765.0,-760.0,12525.0,12885.0,11155.0,17679965.0
2026.06.29,12525.0,890.0,12105.0,13170.0,12000.0,18435636.0
2026.06.26,11635.0,1120.0,10715.0,12700.0,10630.0,22185364.0
2026.06.25,10515.0,-1430.0,10395.0,10945.0,10210.0,15076517.0
2026.06.24,11945.0,-2655.0,13920.0,14000.0,11750.0,46871495.0
2026.06.23,14600.0,2905.0,11960.0,14885.0,11700.0,16834313.0
2026.06.22,11695.0,70.0,12225.0,12450.0,11025.0,15699070.0
2026.06.19,11625.0,520.0,10400.0,12105.0,10370.0,18389359.0
2026.06.18,11105.0,-1095.0,12305.0,12375.0,11075.0,7655089.0
2026.06.17,12200.0,-385.0,13300.0,13360.0,12175.0,7558867.0
2026.06.16,12585.0,-455.0,12535.0,13300.0,12400.0,8895169.0
2026.06.15,13040.0,-1100.0,12545.0,13250.0,12540.0,7524047.0
2026.06.12,14140.0,-2885.0,13610.0,14480.0,12350.0,28927559.0
2026.06.11,17025.0,375.0,17795.0,18195.0,16140.0,12233247.0
2026.06.10,16650.0,1995.0,15730.0,17225.0,15480.0,13555151.0
2026.06.09,14655.0,-4035.0,16500.0,17840.0,14655.0,13052216.0
2026.06.08,18690.0,3450.0,18600.0,18690.0,16505.0,14930379.0
2026.06.05,15240.0,1890.0,14690.0,15450.0,14140.0,14601526.0
2026.06.04,13350.0,685.0,13545.0,13690.0,12400.0,11037210.0
2026.06.02,12665.0,-535.0,12600.0,13855.0,12030.0,23258659.0
2026.06.01,13200.0,-3900.0,17070.0,17095.0,13175.0,17159649.0
2026.05.29,17100.0,-2705.0,18330.0,18780.0,17075.0,10296856.0
2026.05.28,19805.0,1000.0,19075.0,21220.0,18860.0,5402956.0
2026.05.27,18805.0,-1195.0,17180.0,18895.0,16790.0,6067598.0
