날짜,종가,전일비,시가,고가,저가,거래량
2026.08.25,8360.0,120.0,7500.0,8360.0,7130.0,356088.0
2026.08.24,8240.0,-650.0,9340.0,9425.0,8210.0,193651.0
2026.08.21,8890.0,465.0,8235.0,9200.0,8210.0,332151.0
2026.08.20,8425.0,1685.0,7665.0,8650.0,7390.0,465933.0
2026.08.19,6740.0,-1540.0,7125.0,7265.0,6580.0,451778.0
2026.08.18,8280.0,80.0,9005.0,9595.0,8105.0,513613.0
2026.08.14,8200.0,490.0,8610.0,8660.0,7980.0,261543.0
2026.08.13,7710.0,820.0,7540.0,8030.0,7460.0,515319.0
2026.08.12,6890.0,680.0,6415.0,7260.0,6335.0,468725.0
2026.08.11,6210.0,65.0,5990.0,6440.0,5750.0,373881.0
2026.08.10,6145.0,-50.0,6310.0,6750.0,5975.0,311192.0
2026.08.07,6195.0,-715.0,7045.0,7245.0,6090.0,554296.0
2026.08.06,6910.0,-1750.0,7955.0,7980.0,6725.0,711020.0
2026.08.05,8660.0,795.0,8825.0,8990.0,8425.0,544010.0
2026.08.04,7865.0,175.0,8080.0,8250.0,6840.0,589456.0
2026.08.03,7690.0,-1570.0,8415.0,8420.0,7595.0,537151.0
2026.07.31,9260.0,3470.0,7680.0,9260.0,6925.0,2905381.0
2026.07.30,5790.0,-810.0,6300.0,7060.0,5545.0,8349101.0
2026.07.29,6600.0,-1610.0,8325.0,8925.0,5000.0,10611441.0
2026.07.28,8210.0,-3330.0,9465.0,9770.0,8210.0,4321241.0
2026.07.27,11540.0,725.0,11420.0,11580.0,10160.0,2826884.0
2026.07.24,10815.0,-2150.0,12565.0,12710.0,10760.0,3559678.0
2026.07.23,12965.0,1105.0,12825.0,13355.0,12090.0,2768121.0
2026.07.22,11860.0,-45.0,13775.0,14110.0,11815.0,3565699.0
2026.07.21,11905.0,885.0,11130.0,12645.0,10595.0,3425875.0
2026.07.20,11020.0,-1090.0,11150.0,12700.0,10890.0,2748995.0
2026.07.16,12110.0,-3575.0,12975.0,13260.0,11770.0,3877829.0
2026.07.15,15685.0,2345.0,15995.0,16935.0,15470.0,4779201.0
2026.07.14,13340.0,875.0,12225.0,13750.0,10225.0,6130562.0
2026.07.13,12465.0,-5735.0,16845.0,17490.0,12375.0,3788451.0
2026.07.10,18200.0,-105.0,19655.0,19720.0,17850.0,2422537.0
2026.07.09,18305.0,1925.0,18735.0,19535.0,16825.0,3280602.0
2026.07.08,16380.0,-2175.0,17205.0,20785.0,16380.0,3257146.0
2026.07.07,18555.0,-2550.0,20315.0,21245.0,16450.0,2138586.0
2026.07.06,21105.0,-1840.0,23000.0,24180.0,20255.0,2541347.0
2026.07.03,22945.0,4370.0,19185.0,23360.0,16315.0,3529441.0
2026.07.02,18575.0,-8070.0,22580.0,24345.0,18575.0,2347060.0
2026.07.01,26645.0,-2005.0,29045.0,30290.0,25370.0,1200224.0
2026.06.30,28650.0,550.0,28035.0,30780.0,26335.0,1293759.0
2026.06.29,28100.0,-995.0,28540.0,29505.0,25730.0,1222220.0
2026.06.26,29095.0,-5965.0,33600.0,34320.0,27400.0,2316102.0
2026.06.25,35060.0,6155.0,33915.0,37050.0,31605.0,1758004.0
2026.06.24,28905.0,1450.0,28165.0,30500.0,25225.0,1691815.0
2026.06.23,27455.0,-9520.0,36755.0,37300.0,26895.0,2128180.0
2026.06.22,36975.0,4130.0,31905.0,37275.0,31905.0,1502214.0
2026.06.19,32845.0,2000.0,34390.0,36500.0,31000.0,1449315.0
2026.06.18,30845.0,3465.0,28095.0,32270.0,28035.0,1035224.0
2026.06.17,27380.0,2935.0,23795.0,27495.0,23765.0,580441.0
2026.06.16,24445.0,1945.0,24400.0,24900.0,22650.0,595900.0
2026.06.15,22500.0,2455.0,22500.0,23380.0,22245.0,537308.0
2026.06.12,20045.0,820.0,22600.0,22865.0,20045.0,819544.0
2026.06.11,19225.0,985.0,17095.0,20200.0,16625.0,1000504.0
2026.06.10,18240.0,-3435.0,19845.0,20870.0,17125.0,803159.0
2026.06.09,21675.0,4980.0,19105.0,21785.0,18095.0,1085614.0
2026.06.08,16695.0,-3205.0,16000.0,19890.0,16000.0,1285161.0
2026.06.05,19900.0,-4905.0,21325.0,22420.0,19900.0,1289766.0
2026.06.04,24805.0,-1215.0,24195.0,25355.0,24000.0,954516.0
2026.06.02,26020.0,-425.0,26445.0,27310.0,23955.0,1200134.0
2026.06.01,26445.0,1115.0,25050.0,27120.0,24795.0,1068150.0
2026.05.29,25330.0,585.0,26230.0,26705.0,24710.0,1764935.0
2026.05.28,24745.0,995.0,22690.0,25075.0,21725.0,5420674.0
2026.05.27,23750.0,3755.0,25000.0,25995.0,22900.0,2418429.0
