날짜,종가,전일비,시가,고가,저가,거래량
2026.08.27,8720.0,10.0,8810.0,8820.0,8660.0,44149.0
2026.08.26,8710.0,-65.0,8775.0,8860.0,8705.0,55875.0
2026.08.25,8775.0,45.0,8745.0,8775.0,8565.0,64335.0
2026.08.24,8730.0,-200.0,8860.0,8860.0,8655.0,80745.0
2026.08.21,8930.0,80.0,8815.0,8945.0,8775.0,53992.0
2026.08.20,8850.0,215.0,8725.0,8877.0,8650.0,37615.0
2026.08.19,8635.0,-285.0,8685.0,8705.0,8575.0,92629.0
2026.08.18,8920.0,-125.0,9160.0,9200.0,8825.0,244896.0
2026.08.14,9045.0,245.0,8905.0,9045.0,8840.0,96444.0
2026.08.13,8800.0,135.0,8820.0,8875.0,8750.0,109090.0
2026.08.12,8665.0,175.0,8500.0,8690.0,8465.0,73392.0
2026.08.11,8490.0,60.0,8365.0,8500.0,8360.0,47787.0
2026.08.10,8430.0,60.0,8405.0,8440.0,8335.0,63618.0
2026.08.07,8370.0,0.0,8425.0,8460.0,8270.0,48050.0
2026.08.06,8370.0,-175.0,8485.0,8555.0,8305.0,99594.0
2026.08.05,8545.0,120.0,8600.0,8625.0,8500.0,54407.0
2026.08.04,8425.0,65.0,8475.0,8475.0,8220.0,61743.0
2026.08.03,8360.0,-205.0,8455.0,8515.0,8355.0,81223.0
2026.07.31,8565.0,710.0,8495.0,8605.0,8270.0,66452.0
2026.07.30,7855.0,-25.0,7880.0,8105.0,7770.0,99963.0
2026.07.29,7880.0,-130.0,8145.0,8225.0,7610.0,307284.0
2026.07.28,8010.0,-495.0,8310.0,8315.0,7995.0,84441.0
2026.07.27,8505.0,45.0,8535.0,8585.0,8405.0,22119.0
2026.07.24,8460.0,-300.0,8695.0,8695.0,8395.0,30250.0
2026.07.23,8760.0,130.0,8720.0,8800.0,8680.0,35475.0
2026.07.22,8630.0,95.0,8735.0,8827.0,8630.0,63368.0
2026.07.21,8535.0,135.0,8355.0,8580.0,8300.0,86131.0
2026.07.20,8400.0,-235.0,8440.0,8545.0,8345.0,163613.0
2026.07.16,8635.0,-215.0,8640.0,8690.0,8540.0,80304.0
2026.07.15,8850.0,165.0,8860.0,8915.0,8750.0,57393.0
2026.07.14,8685.0,-35.0,8630.0,8770.0,8410.0,106618.0
2026.07.13,8720.0,-305.0,9025.0,9150.0,8680.0,109018.0
2026.07.10,9025.0,125.0,9025.0,9140.0,8975.0,72494.0
2026.07.09,8900.0,-85.0,9005.0,9045.0,8755.0,67805.0
2026.07.08,8985.0,-195.0,9040.0,9240.0,8900.0,75332.0
2026.07.07,9180.0,-255.0,9350.0,9350.0,9030.0,123397.0
2026.07.06,9435.0,60.0,9415.0,9540.0,9290.0,61578.0
2026.07.03,9375.0,275.0,9130.0,9375.0,8990.0,105986.0
2026.07.02,9100.0,-275.0,9100.0,9310.0,9015.0,123666.0
2026.07.01,9375.0,-170.0,9545.0,9700.0,9285.0,365558.0
2026.06.30,9545.0,70.0,9525.0,9615.0,9395.0,62611.0
2026.06.29,9475.0,-10.0,9400.0,9535.0,9315.0,99724.0
2026.06.26,9485.0,-260.0,9650.0,9705.0,9275.0,175992.0
2026.06.25,9745.0,100.0,9920.0,9920.0,9670.0,187699.0
2026.06.24,9645.0,235.0,9425.0,9685.0,9372.0,245926.0
2026.06.23,9410.0,-615.0,10015.0,10015.0,9395.0,405379.0
2026.06.22,10025.0,-135.0,10005.0,10125.0,9950.0,226060.0
2026.06.19,10160.0,-15.0,10275.0,10330.0,10000.0,485106.0
2026.06.18,10175.0,65.0,10115.0,10175.0,10050.0,334429.0
2026.06.17,10110.0,-80.0,10045.0,10117.0,9995.0,324826.0
2026.06.16,10190.0,0.0,10235.0,10235.0,10050.0,275722.0
2026.06.15,10190.0,280.0,10120.0,10235.0,10120.0,407148.0
2026.06.12,9910.0,220.0,10115.0,10155.0,9850.0,287426.0
2026.06.11,9690.0,5.0,9485.0,9690.0,9410.0,182853.0
2026.06.10,9685.0,-345.0,9920.0,9965.0,9595.0,251897.0
2026.06.09,10030.0,210.0,10005.0,10110.0,9750.0,548291.0
2026.06.08,9820.0,-460.0,9735.0,9985.0,9700.0,591935.0
2026.06.05,10280.0,-175.0,10255.0,10365.0,10055.0,941534.0
2026.06.04,10455.0,-160.0,10525.0,10600.0,10395.0,743067.0
2026.06.02,10615.0,25.0,13765.0,13765.0,10390.0,1673360.0
