날짜,종가,전일비,시가,고가,저가,거래량
2026.08.07,6810.0,265.0,6685.0,6935.0,6610.0,766507.0
2026.08.06,6545.0,45.0,6405.0,6705.0,6255.0,804058.0
2026.08.05,6500.0,70.0,6585.0,6605.0,6450.0,379114.0
2026.08.04,6430.0,775.0,5840.0,6490.0,5840.0,584958.0
2026.08.03,5655.0,255.0,5240.0,5810.0,5225.0,588154.0
2026.07.31,5400.0,715.0,4910.0,5405.0,4910.0,266520.0
2026.07.30,4685.0,-155.0,4590.0,4980.0,4590.0,333582.0
2026.07.29,4840.0,-490.0,5330.0,5360.0,4540.0,252865.0
2026.07.28,5330.0,-490.0,5635.0,5635.0,5250.0,241018.0
2026.07.27,5820.0,-85.0,6030.0,6085.0,5780.0,257112.0
2026.07.24,5905.0,-425.0,6275.0,6275.0,5845.0,291927.0
2026.07.23,6330.0,530.0,5900.0,6330.0,5885.0,269628.0
2026.07.22,5800.0,105.0,5900.0,6090.0,5800.0,148730.0
2026.07.21,5695.0,15.0,5680.0,5745.0,5480.0,200568.0
2026.07.20,5680.0,-400.0,5945.0,5955.0,5605.0,182672.0
2026.07.16,6080.0,-330.0,6370.0,6370.0,5960.0,176782.0
2026.07.15,6410.0,375.0,6155.0,6425.0,6145.0,240944.0
2026.07.14,6035.0,-205.0,6235.0,6240.0,5745.0,222071.0
2026.07.13,6240.0,-555.0,6795.0,6950.0,6235.0,194251.0
2026.07.10,6795.0,725.0,6165.0,6850.0,6165.0,271808.0
2026.07.09,6070.0,0.0,6070.0,6385.0,5975.0,416571.0
2026.07.08,6070.0,-525.0,6410.0,6445.0,5975.0,215243.0
2026.07.07,6595.0,-605.0,6965.0,6995.0,6395.0,206486.0
2026.07.06,7200.0,-100.0,7350.0,7570.0,7020.0,345372.0
2026.07.03,7300.0,205.0,7095.0,7300.0,6625.0,392963.0
2026.07.02,7095.0,-765.0,7610.0,7640.0,7060.0,269512.0
2026.07.01,7860.0,420.0,7615.0,7945.0,7325.0,478913.0
2026.06.30,7440.0,120.0,7560.0,7675.0,7220.0,284253.0
2026.06.29,7320.0,685.0,6635.0,7350.0,6635.0,359778.0
2026.06.26,6635.0,-475.0,7040.0,7040.0,6515.0,149205.0
2026.06.25,7110.0,-460.0,7530.0,7605.0,7100.0,151331.0
2026.06.24,7570.0,95.0,7375.0,7650.0,7290.0,231555.0
2026.06.23,7475.0,-960.0,8100.0,8290.0,7400.0,343685.0
2026.06.22,8435.0,-310.0,8600.0,8745.0,8185.0,612886.0
2026.06.19,8745.0,-555.0,9105.0,9180.0,8430.0,300670.0
2026.06.18,9300.0,-610.0,9910.0,9910.0,9265.0,200700.0
2026.06.17,9910.0,-365.0,10220.0,10220.0,9745.0,305648.0
2026.06.16,10275.0,105.0,10410.0,10730.0,10190.0,781695.0
