날짜,종가,전일비,시가,고가,저가,거래량
2026.08.25,8570.0,10.0,8635.0,8635.0,8435.0,34878.0
2026.08.24,8560.0,-125.0,8565.0,8730.0,8500.0,25350.0
2026.08.21,8685.0,-205.0,8530.0,8690.0,8500.0,62511.0
2026.08.20,8890.0,-25.0,8705.0,8925.0,8700.0,52326.0
2026.08.19,8915.0,-100.0,9015.0,9035.0,8865.0,47096.0
2026.08.18,9015.0,-55.0,9070.0,9235.0,9015.0,76450.0
2026.08.14,9070.0,-155.0,9225.0,9225.0,9035.0,107428.0
2026.08.13,9225.0,285.0,9055.0,9230.0,8940.0,94087.0
2026.08.12,8940.0,100.0,8945.0,8985.0,8865.0,57999.0
2026.08.11,8840.0,-340.0,8675.0,8860.0,8670.0,101174.0
2026.08.10,9180.0,705.0,9195.0,9195.0,9070.0,139627.0
2026.08.07,8475.0,120.0,8490.0,8520.0,8425.0,33032.0
2026.08.06,8355.0,-200.0,8705.0,8705.0,8255.0,20340.0
2026.08.05,8555.0,135.0,8785.0,8785.0,8370.0,24430.0
2026.08.04,8420.0,420.0,8270.0,8420.0,8205.0,36505.0
2026.08.03,8000.0,-340.0,8105.0,8127.0,8000.0,16337.0
2026.07.31,8340.0,385.0,7810.0,8390.0,7810.0,37146.0
2026.07.30,7955.0,-135.0,8090.0,8095.0,7860.0,15966.0
2026.07.29,8090.0,-25.0,8115.0,8265.0,7935.0,38705.0
2026.07.28,8115.0,-185.0,8295.0,8295.0,8090.0,12644.0
2026.07.27,8300.0,-125.0,8425.0,8425.0,8115.0,41528.0
2026.07.24,8425.0,-15.0,8315.0,8475.0,8315.0,66150.0
2026.07.23,8440.0,-200.0,8600.0,8600.0,8310.0,30491.0
2026.07.22,8640.0,130.0,8510.0,8810.0,8510.0,61143.0
2026.07.21,8510.0,-20.0,8530.0,8530.0,8350.0,29544.0
2026.07.20,8530.0,-455.0,8790.0,8790.0,8485.0,48891.0
2026.07.16,8985.0,-210.0,9190.0,9190.0,8840.0,48768.0
2026.07.15,9195.0,105.0,9085.0,9210.0,8930.0,47477.0
2026.07.14,9090.0,-65.0,9125.0,9195.0,8955.0,119709.0
2026.07.13,9155.0,-330.0,9430.0,9430.0,9145.0,78890.0
2026.07.10,9485.0,-120.0,9635.0,9635.0,9470.0,53718.0
2026.07.09,9605.0,55.0,9740.0,9740.0,9465.0,13401.0
2026.07.08,9550.0,-340.0,9720.0,10040.0,9485.0,112366.0
2026.07.07,9890.0,-110.0,10045.0,10045.0,9800.0,107151.0
