날짜,종가,전일비,시가,고가,저가,거래량
2026.08.21,8840.0,-165.0,8900.0,8900.0,8515.0,49967.0
2026.08.20,9005.0,125.0,8890.0,9015.0,8835.0,96171.0
2026.08.19,8880.0,-170.0,8965.0,9085.0,8880.0,76061.0
2026.08.18,9050.0,-95.0,9170.0,9170.0,8965.0,135346.0
2026.08.14,9145.0,-25.0,9000.0,9170.0,9000.0,83700.0
2026.08.13,9170.0,250.0,9185.0,9185.0,9040.0,115743.0
2026.08.12,8920.0,-55.0,8975.0,8975.0,8830.0,122624.0
2026.08.11,8975.0,15.0,8960.0,8985.0,8895.0,174793.0
2026.08.10,8960.0,480.0,8955.0,8960.0,8700.0,239683.0
2026.08.07,8480.0,90.0,8560.0,8565.0,8415.0,48777.0
2026.08.06,8390.0,-145.0,8485.0,8485.0,8260.0,71335.0
2026.08.05,8535.0,-105.0,8675.0,8675.0,8400.0,231748.0
2026.08.04,8640.0,230.0,8625.0,8645.0,8425.0,132921.0
2026.08.03,8410.0,-60.0,8530.0,8530.0,8362.0,53641.0
2026.07.31,8470.0,120.0,8355.0,8675.0,8355.0,121945.0
2026.07.30,8350.0,-110.0,8440.0,8510.0,8310.0,61562.0
2026.07.29,8460.0,15.0,8500.0,8685.0,8315.0,74278.0
2026.07.28,8445.0,-280.0,8465.0,8740.0,8435.0,92330.0
2026.07.27,8725.0,-30.0,8790.0,8790.0,8630.0,87988.0
2026.07.24,8755.0,-260.0,8900.0,8955.0,8700.0,151851.0
2026.07.23,9015.0,-280.0,9185.0,9185.0,8955.0,181389.0
2026.07.22,9295.0,105.0,9390.0,9390.0,9250.0,114023.0
2026.07.21,9190.0,-135.0,9280.0,9280.0,9100.0,114373.0
2026.07.20,9325.0,-275.0,9540.0,9540.0,9315.0,197420.0
2026.07.16,9600.0,-75.0,9745.0,9745.0,9580.0,103165.0
2026.07.15,9675.0,-20.0,9985.0,9990.0,9645.0,212230.0
2026.07.14,9695.0,-300.0,9800.0,9800.0,9580.0,296274.0
