날짜,종가,전일비,시가,고가,저가,거래량
2026.08.31,9420.0,60.0,9300.0,9450.0,9225.0,15368.0
2026.08.28,9360.0,40.0,9340.0,9380.0,9315.0,29254.0
2026.08.27,9340.0,-120.0,9525.0,9525.0,9300.0,55144.0
2026.08.26,9460.0,-175.0,9635.0,9665.0,9455.0,39043.0
2026.08.25,9635.0,55.0,9580.0,9640.0,9440.0,27117.0
2026.08.24,9580.0,5.0,9600.0,9620.0,9505.0,15719.0
2026.08.21,9575.0,-30.0,9460.0,9625.0,9460.0,34026.0
2026.08.20,9605.0,45.0,9550.0,9685.0,9550.0,37436.0
2026.08.19,9560.0,-225.0,9595.0,9630.0,9500.0,25939.0
2026.08.18,9785.0,-210.0,9995.0,9995.0,9705.0,71648.0
2026.08.14,9995.0,365.0,9715.0,9995.0,9715.0,178566.0
2026.08.13,9630.0,65.0,9695.0,9785.0,9620.0,38402.0
2026.08.12,9565.0,60.0,9530.0,9625.0,9500.0,7179.0
2026.08.11,9505.0,-35.0,9545.0,9580.0,9500.0,15141.0
2026.08.10,9540.0,65.0,9475.0,9585.0,9400.0,99042.0
2026.08.07,9475.0,-10.0,9485.0,9485.0,9350.0,26056.0
2026.08.06,9485.0,-40.0,9625.0,9625.0,9395.0,27796.0
2026.08.05,9525.0,150.0,9510.0,9560.0,9480.0,76196.0
2026.08.04,9375.0,25.0,9350.0,9375.0,9190.0,24330.0
2026.08.03,9350.0,-5.0,9290.0,9415.0,9290.0,26193.0
2026.07.31,9355.0,465.0,9185.0,9370.0,9135.0,29385.0
2026.07.30,8890.0,-40.0,8930.0,9135.0,8840.0,166883.0
2026.07.29,8930.0,-70.0,9035.0,9200.0,8765.0,56842.0
2026.07.28,9000.0,-360.0,9180.0,9180.0,8960.0,42418.0
2026.07.27,9360.0,0.0,9450.0,9455.0,9275.0,25732.0
2026.07.24,9360.0,-510.0,9720.0,9720.0,9360.0,34767.0
2026.07.23,9870.0,180.0,9745.0,9870.0,9715.0,69177.0
2026.07.22,9690.0,160.0,9660.0,9860.0,9660.0,91842.0
2026.07.21,9530.0,70.0,9410.0,9555.0,9295.0,44770.0
2026.07.20,9460.0,-255.0,9570.0,9600.0,9395.0,29428.0
2026.07.16,9715.0,0.0,9630.0,9760.0,9565.0,114491.0
2026.07.15,9715.0,125.0,9695.0,9755.0,9605.0,74312.0
2026.07.14,9590.0,-175.0,9720.0,9720.0,9425.0,184798.0
